No.,Equipment Name,Serial No,SITE,Rated Power (MVA),HV Rate (kV),LV Rate (kV),Rated Voltage (kV),Service Type,Service Age (Year),Condition Health Index,Health Index Status,Estimated DP (From Furan),Estimated Remaining Life time (Year),Visual Inspection,Active Part,Insulation Resistance & PI,Insulation Power Factor,Exciting Current,Ratio&Polarity,Winding Resistance,1∅ Short Circuit Impedance,3∅ Short Circuit Impedance,Core to Ground,Bushing,Surge Arrester,Dynamic Resistance Measurement (OLTC),Frequency Response Analysis (FRA),%Moisture in paper (FDS),Main Tank Oil,DGA,Water Content,Dielectric Breakdown,PF at 25 °C,PF at 100 °C,Conductivity,Interfratial Tension (IFT),Acidity,Color,Inhibitor,Corrosive Sulfur,Passivator,Furan,Sludge,OLTC Oil,DGA (OLTC),Dielectric Breakdown (OLTC),Water Content (OLTC),Date To Assess,FAT,2011,2012,2013,Last PM,Next PM,Recommendation
25,62BFT30 (Starting TR),E541361_2,GEN,1.25,11,0.69,11/0.69,Auxiliary,5,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
26,40BFT10,6410133,GEN,1.25,11,0.4,11/0.4,Auxiliary,5,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
27,40BFT20,6410134,GEN,1.25,11,0.4,11/0.4,Auxiliary,5,92,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
28,60BFT10,6410135,GEN,1.25,11,0.4,11/0.4,Auxiliary,5,92,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
29,60BFT20,6410136,GEN,1.25,11,0.4,11/0.4,Auxiliary,5,92,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
30,2BBFT20,3902641,GEN,2.5,6.6,0.4,6.6/0.4,Auxiliary,30,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
31,2CBFT20,3902642,GEN,2.5,6.6,0.4,6.6/0.4,Auxiliary,30,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
32,21-90-ED-XT-TR1,14231662_2,GEN,1.6,6.6,0.4,6.6/0.4,Auxiliary,33,90,Healthy,-,-,A,A,A,A,A,A,A,Q,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/01/2026,,,,,2019,2022,3Y PM program overdue.
33,21-90-ED-XT-TR2,14231662_3,GEN,1.6,6.6,0.4,6.6/0.4,Auxiliary,33,90,Healthy,-,-,A,A,A,A,A,A,A,Q,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/01/2026,,,,,2019,2022,3Y PM program overdue.
34,21-90-ED-XT-TR3,14231662_1,GEN,1.6,6.6,0.4,6.6/0.4,Auxiliary,33,95,Healthy,-,-,A,A,A,A,A,A,A,Q,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/01/2026,,,,,2019,2022,3Y PM program overdue.
