SERIAL_NUMBER,DEVICE_CODE,LOCAL_EQUIPMENT_CODE,SITE,COMPANY_CODE,LOCATION_CODE,MANUFACTURING_DATE,BRAND,MANUFACTURER_COMPANY,MADE_IN,MODEL_TYPE,POWER_RATING,POWER_RATING_DETAIL,HV_RATED,LV_RATED,LV2_RATED,HV_RATED_A,LV_RATED_A,LV2_RATED_A,TYPE_OF_COOLING,TAP_CHANGER_TYPE,PHASES,VECTOR_GROUP,IMPEDANCE_MIDDLE_TAP,IMPEDANCE_DETAIL,STANDARD,TEMP_RISE_MAX,WINDING_INSULATION,TYPE_OF_INSULATION,TOTAL_MASS,CORE_AND_COIL_MASS,TANK_AND_FITTING_MASS,OIL_MASS,SHIPPING_MASS,OIL_QUANTITY,DIMENSION,SPECIFICATION,APPLICATION,BUSHING_LV_TYPE,BUSHING_HV_TYPE,REMARK,DATA,NO_WINDING,LOCATION_GPS,FILEUPLOAD,Service_Type,SPARE2,SPARE3,GI,API,IOI,OLTCI,BI,ARI,DGA,HI,Result_Date
5200523,10060-TR-201,10060-TR-201,CUP-1,-,-,2009-04-01 00:00:00,EKARAT,EKARAT,THAILAND,17FL,1250,1250/1600 kVA,6.9,0.4,,133.88,2309.4,,KNAF,NLTC,3,Dyn5,6.66,6.66% at 1600 kVA,IEC 60076,-,A,Natural Ester,4975,-,-,-,-,940,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702334, 101.126324",,Auxiliary Transformer,,100,5,9,3,,,,,43,2026-03-31
5200524,10060-TR-202,10060-TR-202,CUP-1,-,-,2009-04-01 00:00:00,EKARAT,EKARAT,THAILAND,17FL,1250,1250/1600 kVA,6.9,0.4,,133.88,2309.4,,KNAF,NLTC,3,Dyn5,6.65,6.65% at 1600 kVA,IEC 60076,-,A,Natural Ester,4975,-,-,-,-,940,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702301, 101.126303",,Auxiliary Transformer,,100,5,13,15,,,,,83,2024-02-28
5201090,10060-TR-101,10060-TR-101,CUP-1,-,-,2009-04-01 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.92,502.04,,KNAN/KNAF,NLTC,3,Dyn5,7.34,7.34% at 6000 kVA,IEC 60076,,A,Natural Ester,13483,-,-,-,-,3334,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.70239, 101.126367",,Unit Auxiliary Transformer,,100,5,10,15,,,,,75,2024-02-28
5201091,10060-TR-102,10060-TR-102,CUP-1,-,-,2009-04-01 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.92,502.04,,KNAN/KNAF,NLTC,3,Dyn5,7.34,7.34% at 6000 kVA,IEC 60076,-,A,Natural Ester,13483,-,-,-,-,3334,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.70237, 101.126349",,Unit Auxiliary Transformer,,100,5,15,15,,,,,88,2024-02-25
PP0084B01,14100-TR-003,14100-TR-003,CUP-1,-,-,2006-01-01 00:00:00,DAIHEN,DAIHEN,THAILAND,-,40000,-,115,22,,201,1050,,ONAN,OLTC1,3,Dyn1,12.48,-,IEC 60076,60,-,Mineral Oil,70500,35500,-,16560,49500,18400,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.701931, 101.126409",,Distribution Transformer,,100,5,20,9,20,20,20,20,94,2025-04-01
PP0102B01,14100-TR-004,14100-TR-004,CUP-1,-,-,2006-01-01 00:00:00,DAIHEN,DAIHEN,THAILAND,-,40000,-,115,22,,201,1050,,ONAN,OLTC1,3,Dyn1,12.56,-,IEC 60076,60,-,Mineral Oil,70500,35500,-,16560,49500,18400,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.701968, 101.12635",,Distribution Transformer,,100,5,20,15,20,20,20,20,100,2025-04-01
PP0174B01,14100-TR-005,14100-TR-005 (GTG13),CUP-1,-,-,2008-01-01 00:00:00,DAIHEN,DAIHEN,THAILAND,-,55000,44/55 MVA,115,10.5,,276,3024,,ONAN/ONAF,NLTC,3,YNd11,10.78,-,IEC 60076,55,-,Mineral Oil,74000,41500,-,-,-,16900,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.702067, 101.126255",,GSUT,,100,5,20,15,0,20,20,20,100,2025-12-19
PP0225B01,14100-TR-006,14100-TR-006 (GTG14),CUP-1,-,-,2009-01-01 00:00:00,DAIHEN,"DAIHEN ELECTRONIC CO.,LTD.",THAILAND,PT 3W 57 900/118,55000,44/55 MVA,115,10.5,,276,3024,,ONAN/ONAF,NLTC,3,YNd11,10.79,10.79% at 55 MVA,IEC 60076,55,-,Mineral Oil,74000,41500,-,-,-,16900,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.70075, 101.125223",,GSUT,,100,5,20,15,0,20,20,20,100,2025-04-24
4912019,23901-TR-011 (GTG21),23901-TR-011 (GTG21),CUP-2,,,2007-05-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,,44000,44000/55000,117,11,,271.4,2887,,ONAN/ONAF,NLTC,3,YNd11,14.62,14.62% at 44 MVA,IEC 60076,55,,Mineral Oil,70500,,,,55000,18100,,,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.755024, 101.164279",,GSUT,,100,5,20,15,0,20,20,20,100,2025-04-10
4912020,23902-TR-012 (GTG22),23902-TR-012 (GTG22),CUP-2,-,-,2007-05-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,,44000,44000/55000,117,11,,217.1,2309,,ONAN/ONAF,NLTC,3,YNd11,14.62,14.62% at 44 MVA,IEC 60076,55,,Mineral Oil,70500,,,,55000,18100,,,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.754560, 101.163284",,GSUT,,100,5,18,15,0,17.334,20,20,94,2025-04-02
