Serial_no,Date,Test_No,Tested_by,Witnessed_by,COMP1,COMP2,Test_Instrument,Humidity,Instrument_Serial_No,Ambient_temp,Calibration_Date,Oil_temp,Oil_temp_max,Winding_Temp,Winding_temp_HV,Winding_temp_HV_max,Winding_temp_LV,Winding_temp_LV_max,Service_tap,Active_power,Current,Reactive_power,Voltage_kV,Real_power,HVB_result,HVB_remark,NBH_result,NBH_remark,LVB_result,LVB_remark,NBL_result,NBL_remark,SA_result,SA_remark,Maintank_result,Maintank_remark,Conservator_result,Conservator_remark,Radiator_result,Radiator_remark,HV_bushing_result,HV_bushing_remark,NB_result,NB_remark,LV_bushing_result,LV_bushing_remark,Pipe_line_result,Pipe_line_remark,Sampling_valve_result,Sampling_valve_remark,Isolate_valve_result,Isolate_valve_remark,Drain_valve_result,Drain_valve_remark,Radiator_valve_result,Radiator_valve_remark,BCT_terminal_result,BCT_terminal_remark,Buchholz1_relay_result,Buchholz1_relay_remark,Pressure_relief_result,Pressure_relief_remark,Oil_level_M_result,Oil_level_M_remark,Oil_level_O_result,Oil_level_O_remark,Oil_temp_indicator_result,Oil_temp_indicator_remark,Oil_temp_sw_result,Oil_temp_sw_remark,HVW_temp_indicator_result,HVW_temp_indicator_remark,HVW_temp_sw_result,HVW_temp_sw_remark,LVW_temp_indicator_result,LVW_temp_indicator_remark,LVW_temp_sw_result,LVW_temp_sw_remark,Buchholz2_relay_result,Buchholz2_relay_remark,Pressure_relief_device_result,Pressure_relief_device_remark,Suddent_pressure_device_result,Suddent_pressure_device_remark,Rapid_pressure_device_result,Rapid_pressure_device_remark,Rubber_bag_detector_result,Rubber_bag_detector_remark,OLTC_Oil_surge_relay_result,OLTC_Oil_surge_relay_remark,OLTC_Pressure_relief_device_result,OLTC_Pressure_relief_device_remark,OLTC_Oil_Filter_pressure_result,OLTC_Oil_Filter_pressure_remark,Surface_painting_Main_Tank_result,Surface_painting_Main_Tank_remark,Surface_painting_Radiator_fins_result,Surface_painting_Radiator_fins_remark,Foundation_condition_result,Foundation_condition_remark,Transfomer_Earthing_connection_result,Transfomer_Earthing_connection_remark,Fence_Earthing_connection_result,Fence_Earthing_connection_remark,NGR_result,NGR_remark,NGR_resistance_ohm,NGR_resistance_ohm_remark,GND_resistance_Ohm,GND_resistance_Ohm_remark,Main_Conservator_Tank_result,Main_Conservator_Tank_remark,OLTC_Tank_result,OLTC_Tank_remark,LV_Bushing_terminals_box_result,LV_Bushing_terminals_box_remark,Physical1_condition_result,Physical1_condition_remark,Terminal_and_wiring_and_cable_result,Terminal_and_wiring_and_cable_remark,Bolt_and_nut_connection_result,Bolt_and_nut_connection_remark,Cooling_fans_result,Cooling_fans_remark,Cooling_fans_panel_result,Cooling_fans_panel_remark,Operation_test_cooling_fans_result,Operation_test_cooling_fans_remark,Condition_of_cooling_pump_result,Condition_of_cooling_pump_remark,Operation_test_cooling_pump_result,Operation_test_cooling_pump_remark,Condition_of_OLTC_Panel_result,Condition_of_OLTC_Panel_remark,Operation_counter,Operation_counter_remark,Inspection_for_Motor_drive_unit,Inspection_for_Motor_drive_unit_remark,Proper_step_by_step_operation,Proper_step_by_step_operation_remark,Proper_operation_of_hand_crank,Proper_operation_of_hand_crank_remark,Proper_hand_crank_interlock,Proper_hand_crank_interlock_remark,Indication_and_counter_operation_result,Indication_and_counter_operation_remark,Oil_filter_unit_operation_test_and_record_pressure_result,Oil_filter_unit_operation_test_and_record_pressure_remark,Phase_A,Phase_A_remark,Phase_B,Phase_B_remark,Phase_C,Phase_C_remark,Physical2_condition_result,Physical2_condition_remark,Check_all_alarm_annunciator_result,Check_all_alarm_annunciator_remark,Lamp_test_result,Lamp_test_remark,Condition_space_heater_result,Condition_space_heater_remark,Condition_of_lighting_result,Condition_of_lighting_remark,Others,Visual_Result,Bushing_Result,Arrester_Result,OLTC_Result,pic1,pic2,pic3,pic4,pic5,pic6,comment1,comment2,comment3,comment4,comment5,comment6
3710737,2/15/2023,231003590,Mr.Jirasak S.,,GPSC,,,-,,-,,40,50,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,> 1/4,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710737,5/30/2023,,Mr. Methee M.,,GPSC,,,50,,34,,41,41,,-,-,-,-,3,-,-,-,-,-,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,Replace new silica gel,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710737,8/10/2023,30000010106,Mr.Jirasak S.,,GPSC,,,-,,-,,44,50,,-,-,-,-,-,-,-,-,-,-,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,4-Jan,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,11/23/2018,181093064,Pimchart P.,,CMT-ENGIE GLOW,GLOW,,70,,31,,55,61,,-,-,-,-,-,,,,,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1542962707-WIN20181123153937Pro.jpg,1542962707-,1542962707-,1542962707-,1542962707-,1542962707-,,,,,,
3710738,3/28/2019,191006205,Pimchart P.,,Glow,GLOW,,65,,31,,54,62,,-,-,-,-,-,-,-,-,-,-,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Abnormal,,Abnormal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Abnormal,,Abnormal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Abnormal,,Abnormal,,Abnormal,,Abnormal,,,Normal,Normal,Not Available,Not Available,1553832280-,1553832280-,1553832280-,1553832280-,1553832280-,1553832280-,,,,,,
3710738,6/21/2019,,Jirasak S.,,Glow,GLOW,,57,,33,,54,62,,-,-,-,-,-,-,-,-,-,-,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1563178469-,1563178469-,1563178469-,1563178469-,1563178469-,1563178469-,,,,,,
3710738,9/10/2019,191040936,Pimchart P.,,Glow,Glow,,52,,33,,50,62,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1568101345-,1568101345-,1568101345-,1568101345-,1568101345-,1568101345-,,,,,,
3710738,9/10/2019,191040936,Pimchart P.,,Glow,Glow,,52,,33,,50,62,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Not Available,Not Available,Not Available,1568102997-,1568102997-,1568102997-,1568102997-,1568102997-,1568102997-,,,,,,
3710738,3/11/2020,201003273,Mr.Pimchart P.,,GPSC,GPSC,,57,,35,,54,56,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Abnormal,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1584002395-,1584002395-,1584002395-,1584002395-,1584002395-,1584002395-,,,,,,
3710738,5/28/2020,201015090,Mr.Jirasak S.,,GPSC,,,,,,,50,56,,,,,,3,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Abnormal,Oil leak at BCT box.,Not Available,,Not Available,,Abnormal,Oil low level 1/4,Select,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Not Available,Not Available,Not Available,1591071706-IMG20200528104336.jpg,1591071706-IMG20200528104443.jpg,1591071706-,1591071706-,1591071706-,1591071706-,Oil leak at BCT box.,Oil level low,,,,
3710738,6/28/2020,,Mr.Pimchart P.,,GPSC,GPSC,,65,,31,,50,56,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1591592185-,1591592185-,1591592185-,1591592185-,1591592185-,1591592185-,,,,,,
3710738,9/2/2020,201027829,Mr.Methee M.,,GPSC,GPSC,,55,,32,,52,56,,-,-,-,-,-,-,-,-,-,-,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1599039031-,1599039031-,1599039031-,1599039031-,1599039031-,1599039031-,,,,,,
3710738,8/26/2021,211029925,Mr.Jirasak S.,,GPSC,,,-,,-,,52,58,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,> 1/4,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,11/11/2021,211044939,Mr. Methee. M,,GPSC,,,43,,32,,54,-,,-,-,-,-,3,-,-,-,-,-,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,2/25/2022,221004581,Mr. Methee Meechitti,,GPSC,,,55,,32,,49,53,,-,-,-,-,3,-,-,-,-,-,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,5/20/2022,221019083,Mr.Methee M.,,GPSC,,,,,,,45,,,,,,,1,,,,,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Normal,2-Jan,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,11/15/2022,221050292,Jirasak S.,,GPSC,,,-,,-,,50,6,,-,-,-,-,-,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,> 1/4,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Not Available,Not Available,Not Available,,,,,,,,,,,,
3710738,2/15/2023,,Pimchart P.,,GPSC,,,55,,30,,48,60,,-,-,-,-,3,,,,,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
3710738,8/10/2023,30000010106,Mr.Jirasak S.,,GPSC,,,-,,-,,56,60,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,Normal,,Normal,4-Jan,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Normal,,,,,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,,,,,,,,,,,,
383203723,11/20/2018,181093064,Mr. Methee Meechitti,,CMT-Glow,GLOW,,70,,30,,50,60,,-,-,-,-,3,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,-,,-,,-,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Not Available,Not Available,Not Available,1542705214-WIN20181120160655Pro.jpg,1542705214-,1542705214-,1542705214-,1542705214-,1542705214-,Oil temperature indicator,,,,,
383203723,11/20/2018,181093064,Mr.Methee M.,,CMT-GLOW,,,60,,32,,56,66,,-,-,-,-,3,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Not Available,Not Available,Not Available,1543563732-WIN20181120163245Pro.jpg,1543563732-,1543563732-,1543563732-,1543563732-,1543563732-,Oil temperature,,,,,
383203723,3/28/2019,191006205,Mr.Pimchart P.,,Glow,,,65,,32,,50,60,,-,-,-,-,3,,,,,,Normal,,Not Available,,Normal,,Normal,,Abnormal,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,some rusty,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1553757318-,1553757318-,1553757318-,1553757318-,1553757318-,1553757318-,,,,,,
383203723,6/25/2019,,Mr.Pimchart P.,,Glow,GLOW,,57,,33,,52,-,,-,-,-,-,-,-,-,-,-,-,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Normal,,Normal,,Normal,,Normal,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Normal,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,,,,,,Not Available,,Not Available,,Not Available,,Not Available,,Not Available,,,Normal,Normal,Not Available,Not Available,1562153342-,1562153342-,1562153342-,1562153342-,1562153342-,1562153342-,,,,,,
