SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
VN00408,2025-02-05 00:00:00,10000,,160.984,,,,,,,59.459,,,,,138.045,,,,,6.68,,,,,0.90,,,,,1.03,,,,200,9.472,2.770,7.487,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,CH158W,,33,33,33,40,,6.68
5001700,2025-01-31 00:00:00,3000,-,38.38,-,-,-,-,-,-,16.36,-,-,-,-,37.97,-,-,-,-,1.00,-,-,-,-,2.25,-,-,-,-,0.08,-,-,-,,,,,,,,,-,-,-,-,-,-,,Mr.Polasart T.,Mr.Panya,Hitachi Energy,GPSC,TESTRANO 600,,,32,32,32,44,,2.25
5101711,2025-01-31 00:00:00,3000,-,63.157,-,,-,,-,-,28.050,-,-,-,-,64.223,-,-,-,-,0.25,-,-,-,-,0.18,-,-,-,-,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Polasart T.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,,,,,0.35
PTE 1689/03,2025-01-26 00:00:00,10,17.827,20.987,28.392,,,,,12.543,14.561,19.609,,,19.202,22.551,30.301,,,2.63,2.24,1.49,,,2.70,2.35,1.66,,,3.13,2.96,2.35,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09,32,32,32,61,,3.13
PP0225B01,2025-01-21 00:00:00,10000,-,57.54,-,-,-,-,-,-,40.45,-,-,-,-,57.69,-,-,-,-,2.02,-,-,-,-,1.38,-,-,-,-,2.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,30,34,34,56,,2.11
EDP011601,2024-10-07 00:00:00,10,36.940,48.363,66.203,,,,,26.414,35.681,48.609,,,36.796,48.125,65.900,,,17.54,16.59,15.14,,,6.88,6.73,6.54,,,16.34,15.56,14.33,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09,33,46,46,61,,17.54
4710348,2024-09-18 00:00:00,10000,-,48.178,-,-,-,-,-,-,34.107,-,-,-,-,47.744,-,-,-,-,2.99,-,-,-,-,0.91,-,-,-,-,1.69,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,34,36,36,66,,2.99
383204884,2024-09-17 00:00:00,2,-,-,-,4,45.9,-,-,-,-,-,21.83,-,-,-,-,46.08,-,-,-,-,2.00,-,-,-,-,3.95,-,-,-,-,0.17,-,-,-,-,-,-,-,-,-,45,21,46,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,-,-,-,-,,3.95
4711343,2024-09-16 00:00:00,6000,38.034,45.502,57.861,,,,,16.020,19.856,25.166,,,34.173,40.728,49.931,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,CH158W,,33,33,33,64,6 Year PM Transformer,0
6110202,2024-08-19 00:00:00,10000,12.224,14.546,17.808,-,-,-,-,5.252,6.239,7.712,-,-,12.657,15.135,18.41,-,-,1.87,3.90,4.75,-,-,5.04,3.98,10.17,-,-,5.48,8.11,2.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15,36,38,38,63,,10.17
