Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
331000H508_8727I,SITE3,-,1000,6.9,0.416,2017-12-01,7245,416,17.416,6900,416,16.587,6555,416,15.757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1529.6,1290,239.6,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.91,,,,,26,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7449,0.7414,0.7521,NaN,NaN,NaN,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
331000H509_8727J,SITE3,-,1000,6.9,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,1550,1280,270,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.94,,,,,66,75,,,,,,,,,,0.6798,0.6365,0.6303,,,,Oldest Test,Factory Test,,Factory Test,Oldest Test
332152H501_8727C,SITE3,-,2162,6.9,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2170,1860,310,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.59,,,,,35,75,,,,,,,,,,0.2435,0.2343,0.2549,,,,,,,,
332162H5018727A,SITE3,-,2882,6.9,0.416,2017-06-09,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2157.6,1831.9,325.7,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.58,,,,,66,75,,,,NaN,NaN,NaN,,,,0.2256,0.2256,0.2214,,,,,,,,Oldest Test
332162H501_8727B,SITE3,-,2162,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136.24,1838.91,297.33,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,26,75,,,,,,,,,,0.2697,0.2602,0.2495,,,,,,,,
332162H501_8727D,SITE3,-,2882,6.9,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2180,1863,317,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.56,,,,,26,75,,,,,,,,,,0.2590,0.2554,0.2566,,,,,,,,
332162H501_8727E,SITE3,-,2162,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.02,1859.31,293.71,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,27,75,,,,,,,,,,0.2616,0.2710,0.2734,,,,,,,,
332162H502_8727F,SITE3,-,2162,6.9,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2190,1862,327.7,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.49,,,,,66,75,,,,,,,,,,0.2122,0.2173,0.2111,,,,,,,,
332162H502_8727G,SITE3,-,2882,6.9,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2368,1990,378,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.51,,,,,36,75,,,,,,,,,,0.2494,0.2506,0.2494,,,,,,,,
332162H502_8727H,SITE3,-,2882,0.69,0.416,,7245,416,17.416,6900,416,16.586,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,2160,1830,330,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.66,,,,,37,75,,,,,,,,,,0.2348,0.2337,0.2383,,,,Oldest Test,,,Factory Test,Oldest Test
