Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
5201091,CUP-1,160TL,6000,11,6.9,2023-01-22,11550,6900,2.899,11000,6900,2.761,10450,6900,2.623,,,,,,,,,,,,,20.96,8.68,10.996,,,,,,7038,4572,2465,11787,4572,7214,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.34,,,,,28,75,,,,228.3462,228.3815,229.7964,,,,32.6596,32.6596,32.6596,,,,,,,,
5217612,SITE4,KTMP/M 24 HC 4800,4100,21,0.52,2009-01-07,,,,21000,520,46.63,,,,,,,,,,,,,,,,,,,,,,,,8103,203,7900,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.9,,,,,26,75,,,,449.3393,449.5770,449.3393,,,,349.7766,350.1330,356.4299,,,,,,,,
5217613,SITE4,KTMP/M 24 HC 4800,4100,21,0.52,2008-11-25,,,,21000,520,46.633,,,,,,,,,,,,,,,,,,,,,,,,8103,203,7900,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,7.9,,,,,35,75,,,,432.8406,432.9555,432.8406,,,,0.3422,0.3388,0.3445,,,,,,,,
53105200EE,SITE3,-,400,22,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
5310991,SITE2,LH18,315,22,0.4,2020-01-06,23100,400,100.023,22000,400,95.26,20900,400,90.497,,,,,,,,,,-,-,-,13.3,5.4,13.6,-,-,-,,,2692.57,1216.56,1476.01,4763,1182,3581,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.7,,,,,33,75,NaN,NaN,NaN,4.6546,4.6546,4.6546,NaN,NaN,NaN,2.0826,2.0826,2.0826,,,,,,,,
54001,SPARE,-,50000,113,23,2020-01-24,129980,23000,3.263,113000,23000,2.837,96016,23000,2.410,-,-,-,-,-,-,-,-,-,23,16,23,31,22,32,44,32,44,,,10746.48,6842.21,3904.35,22895.54,6842,16053.43,,,,,,,20.31,19.01,18.65,-,-,-,36,75,766.5989,767.7431,772.3198,638.4510,637.3068,641.8835,766.5989,767.7431,767.7431,47.5749,47.4376,47.5749,NaN,NaN,NaN,,,,,
54002,,,50000,113000,23000,,129984,23000,3.263,113000,23000,2.837,112100,23000,2.41,,,,,,,,,,25.0,19.1,28.0,32.9,25.6,35.7,46.2,36.9,48.8,,,10396,6940,3450,23250,6970,16280,,,,,,,20.13,18.88,18.42,,,,50,75,692.3,690.9,689.7,576.0,574.8,574.5,692.2,690.3,690.3,42.6,42.5,42.5,,,,,,,,
54110620EE,SITE6,-,2300,11,0.4,2018-07-20,11550,400,50.013,11000,400,47.631,10450,400,45.249,,,,,,,,,,,,,,,,,,,,,3901.7,2579,1322.7,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.77,,,,,30,75,,,,312.0930,311.4986,311.2213,,,,0.2527,0.2434,0.2446,,,,Lastest Test,Factory Test,,Factory Test,Lastest Test
54110621EE,SITE6,,2300,11,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,,,,,
54110640EE,SITE6,-,6250,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,,,,,
54110641EE,SITE6,-,6250,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,,,,,
5513053,GHECO-ONE,PT 3W 10 500 / 22,10000,22,11,2012-12-25,23100,11000,3.637,22000,11000,3.464,20900,11000,3.291,,,,,,,,,,29.907,76.396,74.319,32.425,83.097,80.295,35.359,90.859,87.127,,,8504.07,6763.99,1740.08,11697.17,6763.99,4933.18,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",7.95,7.79,7.64,,,,32.8,75,285.3768,286.6528,286.1816,270.2121,271.2982,270.8108,253.7738,254.4361,254.6468,25.7037,25.6875,25.7234,,,,,,,,
5513260,SITE3,LH.20,500,22,0.4,2019-03-04,23100,400,100.023,22000,400,95.26,20900,400,90.497,,,,,,,,,,,,,20.105,15.142,20.211,,,,,,3124,1529,1593,3863,1529,2334,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.41,,,,,45,75,,,,4.9830,4.9830,4.9719,,,,1.3509,1.3399,1.3731,,,,,,,,
56016,SITE6,CP1,50000,115,22,2012-12-15,126500,22000,9.959,115000,22000,9.054,103500,22000,8.148,,,,,,,,,,12.56,5.399,12.54,15.06,6.49,14.93,18.21,7.78,18.15,,,9873.6,6869.4,3004.2,22058.7,6869.1,15189.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.2,12.67,12.34,,,,38,75,896.8117,903.5128,901.9228,790.5028,792.8879,794.5916,900.2191,900.2191,904.7622,13.5158,13.8565,13.5158,,,,,,,,
56118448EE,SITE2,53420022L3,2000,22,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
57005,SITE3,CP1,54/72/90 MVA,118 kV,11.5 kV,1997-08-26,123900,11500,6.22,118000,11500,5.924,112100,11500,5.628,123900,11500,6.220,118000,11500,5.924,112100,11500,5.628,,,,,,,,,,,,32209.28,18993.76,13296.52,46368.08,30616.53,15751.55,,,,38226.63,19113.81,19112.82,7.1,7.24,7.4,7.15,7.28,7.44,33.58,75,261.2174,261.3352,260.6078,249.2406,248.8884,248.9669,237.0039,236.5525,236.2951,4.6330,4.7439,4.6977,4.8178,4.8235,4.7773,,,,,
57011,SITE3,CP1,215000,118,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
57012,SITE3,CP1,160/190/215 MVA,118000,15.75 kV,1998-07-23,123000,15750,4.542,118000,15750,4.326,112100,15750,4.109,,,,,,,,,,,,,,,,,,,,,98533.5,11189.8,87339.3,28727.36,11194.5,19617.5,,,,,,,12.93,13.22,13.53,,,,34.33,34.33,94.8970,94.9511,95.0881,89.2660,89.3605,89.4330,83.6455,83.6881,83.8205,5.7484,5.7449,5.7449,,,,Oldest Test,,,,
5710876,SITE5,LH21,630,11,0.4,2014-09-15,11550,400,50.01,11000,400,47.63,10450,400,45.25,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,3.97,-,-,-,-,30,75,2047.7316,1941.2495,1837.1078,2047.7316,1941.2495,1837.1078,2047.7316,1941.2495,1837.1078,1.9307,2.0477,1.9892,NaN,NaN,NaN,,Factory Test,,Factory Test,Factory Test
5710877,SITE5,PT 3W 28 350 / 22,20000,22,11,2014-10-17,24750,11000,3.897,22000,11000,3.464,19250,11000,3.031,,,,,,,,,,,,,,,,,,,,,14148.43,11234.8,2913.63,20220.77,11234.8,8985.97,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.67,9.88,9.59,,,,32.2,75,48.1263,48.1367,46.9066,39.9832,39.8834,39.8010,48.0833,47.7944,47.4520,79.9629,79.7447,95.7663,,,,Factory Test,Factory Test,,Factory Test,Factory Test
587001,SRC,-,15000,230,6.9,2015-06-22,253000,6900,63.509,230000,6900,57.735,207000,6900,51.962,,,,,,,,,,,,,,,,,,,,,7033,3519,3514,20954,3519,17435,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,8.42,,,,,35,75,15.5646,15.4968,15.6300,14.1681,14.0946,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6012333,MTP1,PT 3W 44 220/115,40000,115,22,2018-07-26,126500,22000,9.959,115000,22000,9.0536,103500,22000,8.148,-,-,-,-,-,-,-,-,-,14.89,5.3,14.65,17.53,6.23,17.36,21.05,7.4,20.84,,,9489.12,6231.71,3257.41,16264.21,6231.71,10032.50,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.44,12.78,12.38,-,-,-,30.9,75,1.5533,1.5557,1.5603,1.3796,1.3807,1.3854,1.5533,1.5335,1.5603,17.55,17.55,18.72,NaN,NaN,NaN,,,,,
608107,SITE2,Trafostar,30/50 MVA,115 kV,23 kV,2009-07-10,129980,23000,3.263,114890,23000,2.884,96016,23000,2.837,,,,,,,,,,3.77,3.604,6.399,4.745,4.649,8.104,6.354,6.319,10.722,,,10315.4,6905.4,3410,,,,,,,,,,20.13,18.88,18.42,,,,31.4,75,789.81,788.59,788.82,657.70,654.79,656.95,790.16,788.94,790.16,48.42,47.89,48.66,,,,Factory Test,,Lastest Test,Factory Test,
608108,SITE3,Trafostar,30/50 MVA,115 kV,23 kV,2009-12-14,129980,23000,3.266,113000,23000,2.839,96016,23000,2.412,,,,,,,,,,1.650,1.326,1.768,2.060,1.691,2.264,2.778,2.262,2.983,,,10370,6890,3480,,,,,,,,,,20.31,19.01,18.65,,,,30.2,75,778.07,790.41,789.89,653.20,654.73,654.90,785.73,787.66,787.90,48.40,48.29,48.37,,,,Factory Test,,,Factory Test,
6110201,CUP-4,PT 4W 103 024/115,91000,115,11,2023-04-24,130813,11000,6.866,115000,11000,6.036,103500,11000,5.432,-,-,-,-,-,-,-,-,-,68,44,68,86,57,87,104,70,104,,,13603,9744,3859,23573,9744,13828,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",14.93,13.94,13.13,,,,35,75,290.2065,289.6323,286.0722,251.8492,252.9976,252.7679,221.4160,221.7605,221.4160,3.7898,3.7898,3.7898,,,,,,,,
6110202,GENERAL,PT 4W 57 453/115,52000,115,22,2024-08-19,126500,22000,9.959,115000,22000,9.053,103500,22000,8.148,,,,,,,,,,12,5,12,14,6,14,17,7,18,,,10951,7650,3300,18331,7650,10680,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",14.84,13.97,13.26,,,,40,75,1169.2222,1169.2222,1166.9672,1029.9754,1030.6519,1028.1714,916.4357,916.7740,914.4062,15.5596,15.4468,15.5596,,,,,,,,
6110203,CUP-4,PT 3W 10000/11,10000,11,6.9,2023-04-25,12100,6900,3.037,11000,6900,2.761,9900,6900,2.485,,,,,,,,,,16.27,11.54,16.50,19.2,13.45,19.46,23.11,16.05,23.58,,,6347,4645,1702,9304,4646,4658,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",9.87,9.46,9.28,,,,38,75,92.7591,93.3838,93.4065,81.7534,81.7307,81.8443,95.2351,94.2811,94.6218,12.4095,12.4061,12.4709,,,,,,,,
6110204,CUP-4,LH11,2750,6.6,0.4,2023-03-25,6930,400,30,6600,400,28.578,6270,400,27.149,,,,,,,,,,,,,,,,,,,,,4310,2960,1350,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.79,,,,,36,75,,,,115.5619,115.5619,115.5619,,,,0.2162,0.2174,0.2174,,,,,,,,
6110245,GENERAL,LH18,1000,6.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6110289,MTP1,-,500,22,0.4,2018-09-15,23100,400,100.03,22000,400,95.263,20900,400,90.5,,,,,,,,,,-,-,-,11,4,11,-,-,-,,,2176,1375,802.3,4518,1373,3144,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.24,,,,,26.3,75,10158.4356,10742.1896,10748.0046,10158.4356,10162.7078,10164.6066,9582.3953,9581.8020,9587.9730,1.4541,1.4475,1.4758,NaN,NaN,NaN,,,,,
6310534,SITE2,PT 4W 74 585/120,65000,120,11,2022-06-01,136500,11000,7.164,12000,11000,6.298,103500,11000,5.432,,,,,,,,,,,,,,,,,,,,,11472.8,7611.26,3861.35,19426.35,7608.93,11817.60,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",15.67,14.47,13.49,,,,32,75,504.4676,436.9234,366.5920,506.1399,426.6571,366.9869,506.1167,436.5053,367.7998,6.2492,6.1517,6.2109,,,,,,,,
6310535,SITE2,PT 4W 74 585/120,65,120,11,2021-11-17,136500,11000,7.164,12000,11000,6.298,103500,11000,5.432,,,,,,,,,,46,31,47,59,40,60,77,53,78,,,11410.60,7599.17,3811.80,19256.55,7597.09,11660.0,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",15.69,14.47,13.52,,,,38,75,494.8366,495.7225,495.8588,427.0532,428.0073,427.6211,358.4748,359.4970,359.8832,5.9640,5.9753,5.9742,,,,,,,,
6310536,SITE2,PT 4W 74 585/120,65000,120,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6310537,SITE2,PT 4W 74 585/120,65000,120,11,2021-10-06,136500,11000,7.164,120000,11000,6.298,103500,11000,5.432,,,,,,,,,,43,32,44,55,40,56,71,53,72,,,11587,7701.5,3899,19272,7706,11479.35,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",13.99,12.89,12.02,,,,31.2,75,508.1764,509.1199,509.2481,453.4169,454.0925,454.4536,369.2567,369.9672,370.3982,6.1302,6.1336,6.1413,,,,,,,,
6410130,SITE2,,6000,11,6.6,2021-12-09,11550,6600,3.031,11000,6600,2.887,10450,6600,2.742,,,,,,,,,,94,40,92,,,,,,,,,5187,3859,1328,8106,3859,4247,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",7.99,8.14,8.33,,,,22.5,75,132.9164,132.5792,133.0970,126.6782,126.3169,126.7505,120.2703,119.8969,120.2835,17.2874,17.2754,17.2634,,,,,,,,
6410131,SITE2,PT 2W 6000/11,6000,11,6.6,2021-12-13,11550,6600,3.031,11000,6600,2.887,10450,6600,2.742,,,,,,,,,,94,40,93,,,,,,,,,5105,3795,1310,8110,3795,4315,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",8.03,8.16,8.35,,,,23.3,75,133.3203,132.9962,133.0322,127.0535,126.6933,126.7053,120.6426,120.2824,120.2344,17.2242,17.1822,17.2566,,,,,,,,
6410132,SITE2,,6000,11,6.6,2021-12-15,11550,6600,3.031,11000,6600,2.887,10450,6600,2.742,,,,,,,,,,94,40,94,,,,,,,,,5299,3980,1319,8293,3980,4313,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",7.95,8.09,8.27,,,,25.5,75,132.5017,132.2041,132.4541,126.2641,125.9427,126.1689,119.8717,119.5503,119.7170,17.2903,17.1713,17.2415,,,,,,,,
6410133,SITE2,,1250,11,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6410134,SITE2,,1250,11,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6410135,SITE2,,1250,11,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6410136,SITE2,,1250,11,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6410137,SITE2,PT 2W 6000/11,6000,11,6.9,2021-12-14,11550,6600,3.031,11000,6600,2.887,10450,6600,2.742,,,,,,,,,,93.81,44.55,92.37,,,,,,,,,5284.33,3950.54,1333.79,8147.44,3950.54,4196.90,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,8.11,,,,,23.3,75,132.8521,132.1798,132.7200,126.6453,125.9370,126.4292,120.2944,119.5921,120.0207,17.2638,17.2062,17.2386,,,,,,,,
6512362,SITE3,PT4W82543/118,72000,118,11,2023-02-08,135700,11000,7.122,118000,11000,6.193,103250,11000,5.419,,,,,,,,,,4.4609,3.6011,4.5030,5.8212,4.4313,5.540,7.0272,5.4892,6.475,,,,7769.33,4365.71,,,10994.15,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",15.68,14.47,13.34,,,,29.2,75,390.8597,390.3902,392.3150,328.7014,328.1850,330.3915,281.8950,281.0265,282.9983,4.9985,5.0457,5.0149,,,,,,,,
6512363,SITE3,PT4W82543/118,72000,118,11,2023-02-22,135700,11000,7.122,118000,11000,6.193,103250,11000,5.419,,,,,,,,,,5.7718,6.7479,8.0179,4.4117,5.3742,6.7664,5.1583,6.3896,7.6183,,,,7733.90,4327.60,,,11509,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",15.68,14.47,13.34,,,,29.1,75,385.1490,386.6871,386.2175,323.3899,324.4232,324.5875,276.0491,277.5403,277.2350,4.9910,4.9811,4.9893,,,,,,,,
6611059,SITE2,LH 18,315,22,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6611059,SITE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6611059,SITE2,LH 18,315,22,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
6611060,SITE2,LH18,315,115,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
667001,SRC,,1500,230,6.9,2024-04-08,253000,6900,63.5,230000,6900,57.727,207000,6900,51.96,,,,,,,,,,0.75,1.46,1.73,1.01,1.84,1.82,1.21,2.15,2.2,,,7720,3540,4180,17670,3540,14130,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",9.05,8.48,8.1,,,,33.5,75,15659.7761,15649.3825,15654.0019,14282.0392,14258.9422,14268.1810,12999.0000,12977.0578,12994.3806,5.1067,5.0837,5.1529,NaN,NaN,NaN,,,,,
9624007,SITE3,-,13400,11.5,7.2,,11500,7560,2.635,11500,7200,2.766,11500,6840,2.912,-,-,-,-,-,-,-,-,-,70.962,153.062,153.688,62.201,134.275,135.117,71.220,153.228,154.058,,,10834.8,8827.7,2007.1,18388.3,8827.4,9560.9,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,6.94,-,-,-,-,38,75,NaN,NaN,NaN,40.6984,40.5701,40.9483,NaN,NaN,NaN,8.7171,8.6399,8.6285,NaN,NaN,NaN,,,,,
9640548,,,17500,230,17.5,,123900,11500,6.2203,118000,11500,5.9241,112100,11500,5.6279,,,,,,,,,,11.6,11.9,13.6,3.5,3.5,4.3,,,,,,151338.1,7145,144175.7,11559,288,11270.8,,,,19001,7180,11873,8.09,7.58,7.78,,,,40,75,0.0000,0.0000,0.0000,442.2704,443.0732,443.3833,0.0000,0.0000,0.0000,6.8327,6.7943,6.8191,6.6714,6.6624,6.7628,,,,,
9640549,SITE3,OUL 90/230,17500,118 kV,11.5 kV,2020-11-01,123900,11500,6.2203,118000,11500,5.9241,112100,11500,5.6279,,,,,,,,,,,,,7.4,6.1,7.7,,,,,,20137,14283,5853,18736,7134,11602,,,,19278,7158,12120,,7.61,,,,,38,75,NaN,NaN,NaN,196.5660,194.7454,195.9436,NaN,NaN,NaN,6.2922,6.2922,6.2922,6.5875,6.5307,6.5762,,,,,
9724074,SITE3,OIV 13.4/34,22400,15.75,7.2,2012-02-07,15750,7560,3.6083,15750,7200,3.7888,15750,6840,3.9882,,,,,,,,,,,,,38.835,50.716,56.54,,,,,,12430,10160,2270,26120,10230,15890,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.93,,,,,40,75,NaN,NaN,NaN,89.3096,89.7043,89.6704,NaN,NaN,NaN,8.6006,8.5803,8.5983,NaN,NaN,NaN,Oldest Test,Factory Test,,Factory Test,Oldest Test
9724075,SITE3,OIV 13.4/34,13400,15.75,7.2,,15750,7560,3.608,15750,7200,3.789,15750,6840,3.988,,,,,,,,,,,,,14.416,14.885,20.352,,,,,,10475,8363.4,2274,24080,8364.3,16119,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.93,,,,,38,75,NaN,NaN,NaN,78.8004,78.8345,78.8686,NaN,NaN,NaN,9.0567,9.0465,9.0590,NaN,,,,,,,Oldest Test
9724076,SITE3,,13400,11.5,7.2,,11500,7560,2.9121,11500,7200,2.7665,11500,6840,2.6347,,,,,,,,,,,,,39.937,41.423,58.101,,,,,,10971,8664.1,2315,24321.4,8662.6,15658.8,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.86,,,,,40,75,,,,40.0715,40.1279,39.7784,,,,10.2197,10.2242,10.1690,,,,Oldest Test,,,,
A1A69683T001,SRC,-,390000,230,19,2023-11-15,241500,19000,7.34,230000,19000,6.98,218500,19000,6.63,,,,,,,,,,,,,,,,,,,,,19677,14724,4953,39571,14723,24847,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,10.48,,,,,32,75,NaN,NaN,NaN,NaN,NaN,NaN,126.3782,126.6918,126.6337,1.6723,1.6723,1.6723,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
A1A69683T002-1,SRC,-,319,230,15.2,2023-11-15,241500,15200,9.173,230000,15200,8.736,218500,15200,8.299,,,,,,,,,,,,,,,,,,,,,17632,13007,4625,39381,13006,26375,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",-,10.52,10.82,,,,32,75,NaN,NaN,NaN,NaN,NaN,NaN,203.3061,203.8287,204.1190,1.7304,1.7304,1.7304,NaN,NaN,NaN,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
