serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
Suphon Test,2020-11-18 00:00:00,aaaaa,1,1,2,3,4,5,6,7,8,9,10,10.0000,1,11,12,13,14,15,16,17,18,19,20,1.8182,1,21,22,23,24,25,26,27,28,29,30,1.4286,,,,,,,,0000-00-00,,,,,1000,500,300
97.2.4074,2020-11-11 00:00:00,,5000,2820,3250,3580,3700,3930,4070,4200,4320,4350,4380,1.5532,2500,1314,1630,1780,1931,2020,2120,2230,2300,2370,2420,1.8417,,,,,,,,,,,,,,Chaichaleom Waihor,Pimchart Promkhandee,TIS,GPSC,Megger/MIT515,101434008,2020-03-17,28,34,34,65,1000,1000,1000
PTE 1689/03,2020-11-11 00:00:00,2010233456,5000,5520,6170,6640,7020,7370,7630,7890,8140,8320,8500,1.5399,,5520,6170,6640,7020,7370,7630,7890,8140,8320,8500,1.5399,,-,-,-,-,-,-,-,-,-,-,-,,Mr. Methee Meechitti,,GPSC,,Megger S1-1068,101716385,2018-02-28,30,30,30,50,1000,1000,1000
57011,2020-11-09 00:00:00,,-,,,,,,,,,,,,2500,420,525,639,733,835,897,933,982,1029,1062,2.5286,,,,,,,,,,,,,,Chaichaleom Waihor,Pimchart Promkhandee,TIS,GPSC,Megger/MIT515,101434008,2020-03-17,31,36,36,49,1000,1000,1000
97.2.4074,2020-11-09 00:00:00,,5000,2770,3110,3600,3860,4070,5350,4400,4510,4640,4750,1.7148,2500,1630,1710,1820,1940,2050,2190,2240,2400,2660,2760,1.6933,,,,,,,,,,,,,,Chaichaleom Waihor,Pimchart Promkhandee,TIS,GPSC,Megger/MIT515,101434008,2020-03-17,31,30,30,57,1000,1000,1000
96.4.0549,2020-11-01 00:00:00,,5000,1430,1608,1878,2090,2280,2440,2580,2700,2810,3030,2.1189,2500,1720,2420,3110,3630,4100,4660,5120,5580,5940,6300,3.6628,,,,,,,,,,,,,,Chaichaleom Waihor,Pimchart Promkhandee,TIS,GPSC,Megger/MIT515,101384824,2020-08-04,38,45,45,57,1000,1000,1000
9640549,2020-11-01 00:00:00,,5000,1430,1608,1878,2090,2280,2240,2580,2700,2810,3030,2.1189,2500,1720,2420,3110,3630,4100,4660,5120,5580,5940,6300,3.6628,2500,1589,2120,2620,3070,3500,3840,4230,4570,4870,5160,3.2473,,Mr.Chaichaleom W.,Mr.Pimchart P.,TIS,GPSC,MEGGER/MIT515,101384824,2020-08-04,35,45,45,65,1000,1000,1000
3710738,2020-10-28 00:00:00,201007512,2500,4150,4520,4710,4830,4930,5010,5070,5130,5190,5240,1.2627,500,2843,3100,3250,3300,3420,3490,3530,3580,3630,3640,1.2803,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,NHT/NRV,,Megger S1-1068,101716385,2018-02-28,26,34,34,70,1000,1000,1000
PTE 1689/02,2020-10-28 00:00:00,201022873,5000,4690,5400,5810,6190,6550,6820,7040,7300,7480,7690,1.6397,-,-,,,,,,,,,-,-,2500,3570,4670,5610,6380,7040,7640,8140,8600,9000,9350,2.6190,,Mr.Jirasak S.,,NHT/NRV,,Megger S1-1068,-,0000-00-00,35,39,39,53,1000,1000,1000
508038,2020-10-08 00:00:00,201007511,5000,11200,13490,14420,15240,15820,16420,16830,17180,17420,17700,1.5804,2500,3260,4220,4920,5540,6070,6560,7010,7400,7780,8120,2.4908,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,NHT/NRV,,Megger S1-1068,101716385,2018-02-28,27,34,34,70,1000,1000,1000
42754,2020-08-21 00:00:00,191044990,2500,6920,8340,9170,9670,10010,10300,10550,10750,10930,11090,1.6026,2500,7510,8700,9500,10130,10690,11130,11550,11920,12250,12550,1.6711,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-068,100153610143131,0000-00-00,35,35,35,57,1000,1000,1000
4710345,2020-08-21 00:00:00,191044989,2500,7810,9960,11250,12220,13070,13600,14480,15050,15670,16150,2.0679,2500,11200,13490,14420,15240,15820,16420,16830,17180,17620,17700,1.5804,-,-,,,,,,,,,-,-,,Mr.Pimchart P.,,GPSC,,Megger S1-068,100153610143131,0000-00-00,33,34,34,56,1000,1000,1000
4912020,2020-06-26 00:00:00,,2500,10240,-,-,-,-,-,-,-,-,14410,1.4072,2500,5920,-,-,-,-,-,-,-,-,9030,1.5253,-,-,,,,,,,,,-,-,,Mr.Phitsanu,Mr.Anusorn,TIRATHAI PLC,GPSC,Megger MIT520/2,323-014-B0/2-02,0000-00-00,28,30,,95.3,1000,1000,1000
4912019,2020-05-01 00:00:00,,2500,2890,-,-,-,-,-,-,-,-,6550,2.2664,2500,2040,-,-,-,-,-,-,-,-,4200,2.0588,-,-,,,,,,,,,-,-,,Mr.Pisit,Mr.Waranon,TIRATHAI PLC,GPSC,Megger MIT520/2,323-016-B0,0000-00-00,,34,34,,1000,1000,1000
54001,2020-01-24 00:00:00,,2500,3720,,,,,,,,,6670,1.7930,2500,3250,,,,,,,,,5290,1.6277,,,,,,,,,,,,,Result test after install at GEN.,Kongsak K.,Jirasak S.,ABB,GLOW,Megger,,0000-00-00,36,36,,,3320,1000,1000
1LKR091729,2019-11-30 00:00:00,191057172,2500,3520000,4900000,7000000,>7500000,>7500000,>7500000,>7500000,>7500000,>7500000,7500000,2.1307,500,840000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,1500000,1.7857,-,-,-,-,-,-,-,-,-,-,-,-,,Mr. Jirasak S.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-03-04,25,-,25,50,1000,1000,1000
K810289,2019-11-28 00:00:00,191057169,2500,49900,52900,65000,70500,71600,69100,72900,75500,76500,78400,1.5711,500,58900,70600,79200,85200,88300,88000,88900,87900,89300,89700,1.5229,,-,-,-,-,-,-,-,-,-,-,-,,Mr. Jirasak S.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-03-04,32,-,32,55,1000,1000,1000
K810290,2019-11-28 00:00:00,191057168,2500,500000,653000,>750000,>750000,>750000,>750000,>750000,>750000,>750000,750000,1.5000,500,100000,>150000,>150000,>150000,>150000,>150000,>150000,>150000,>150000,150000,1.5000,,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,CMT-GLOW,GLOW,TESTRANO 600,DA193X,2018-02-16,33,-,33,47,1000,1000,1000
1LKR091730,2019-11-27 00:00:00,191057171,2500,2540000,4740000,6770000,>7500000,>7500000,>7500000,>7500000,>7500000,>7500000,7500000,2.9528,500,897000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,1500000,1.6722,,--,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-03-04,26,-,26,51,1000,1000,1000
20083122TIC003,2019-11-26 00:00:00,191050218,-,-,-,-,-,-,-,-,-,-,-,-,2500,3.83,4.50,5.09,5.63,6.08,6.50,6.88,7.23,7.55,7.85,2.0496,,-,-,-,-,-,-,-,-,-,-,-,HV side can not test because insulation between GIS with ground have withstand voltage as 1000 V,Mr.Methee M.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-04-03,33,33,33,45,1000,1000,1000
20083122TIC008,2019-11-26 00:00:00,191050217,-,-,-,-,-,-,-,-,-,-,-,-,2500,5520,7200,7980,9330,9510,9730,9780,9840,9920,10580,1.9167,,-,-,-,-,-,-,-,-,-,-,-,HV side can not test because voltage withstand between GIS with ground as 1000 V,Mr.Jirasak S.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-03-04,32,33,33,45,1000,1000,1000
K810291,2019-11-23 00:00:00,191057170,2500,2540000,4740000,6770000,>7500000,>7500000,>7500000,>7500000,>7500000,>7500000,7500000,2.9528,500,897000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,>1500000,1500000,1.6722,,-,-,-,-,-,-,-,-,-,-,-,,Mr. Jirasak S.,,CMT-GLOW,GLOW,Meger/MIT515,1003012101716385,2019-03-04,29,-,29,50,1000,1000,1000
5513053,2019-11-06 00:00:00,,2500,8500,11410,13110,13980,14750,15260,15840,16390,16850,17130,2.0153,2500,7240,9300,10900,12120,13170,14090,14810,15440,15990,16630,2.2970,-,-,,,,,,,,,-,-,After OLTC overhaul.,Tanasak K.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101343131,2019-02-27,32,36,35,67,1000,1000,1000
4711343,2019-11-04 00:00:00,181100891,5000,5430,-,-,-,-,-,-,-,-,8910,1.6409,2500,6520,-,-,-,-,-,-,-,-,9060,1.3896,-,-,,,,,,,,,-,-,,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,31,38,38,64,1000,1000,1000
5513053,2019-11-04 00:00:00,,2500,8080,11200,12440,13340,14060,16740,15300,15640,16100,16470,2.0384,2500,7000,9060,10600,11470,12380,13020,13590,14300,14760,15260,2.1800,-,-,,,,,,,,,-,-,Before OLTC overhaul.,Tanasak K.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101343131,2019-02-27,32,36,35,67,1000,1000,1000
5011858,2019-10-29 00:00:00,191053767,2500,6950,8220,9210,9960,10600,11180,11700,12140,12550,12910,1.8576,2500,4060,5080,5840,6490,7050,7550,8000,8440,8820,9180,2.2611,-,-,,,,,,,,,-,-,Result test after repair leak.,Jirasak S.,Pimchart P.,GLOW-CMT,GLOW,Megger S1-1068,1003012101716385,2018-02-26,35,30,30,59,1000,1000,1000
510049,2019-09-01 00:00:00,191036006,5000,4650,5020,5270,5410,5620,5840,6000,6140,6450,6530,1.4043,-,-,-,-,-,-,-,-,-,-,-,-,2500,2140,2180,2210,2280,2440,2660,2690,2720,2830,2940,1.3738,"- After overhaul OLTC
- Auto Transformer
- High humidity",Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,29,39,39,76,1000,1000,1000
510049,2019-08-29 00:00:00,191036006,5000,5130,5450,5680,5650,5840,6040,6170,6220,6300,6330,1.2339,-,-,,,,,,,,,-,-,-,-,,,,,,,,,-,-,Result before OLTC overhaul.,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,29,39,39,71,,,
383204885,2019-08-27 00:00:00,-,2500,3550,4320,4520,5110,5330,5510,5650,5770,5870,5950,1.6761,2500,2410,3420,4190,4930,5250,5660,5970,6260,6520,6740,2.7967,-,-,,,,,,,,,-,-,,Jirasak S.,,GLOW-CMT,,Megger S1-068,-,0000-00-00,31,30,30,61,1000,1000,1000
4710347,2019-08-27 00:00:00,191045321,5000,8530,9300,9740,10380,10980,11460,11800,12170,12700,12860,1.5076,2500,3980,4730,5380,5990,6480,6950,7410,7960,8260,8640,2.1709,-,-,,,,,,,,,-,-,,Methee M.,,GLOW-CMT,,Megger S1-068,,0000-00-00,31,34,34,61,1000,1000,1000
FC203816,2019-08-25 00:00:00,191043906,2500,12300,17200,20200,22100,23700,25100,26300,27300,28300,29300,2.3821,500,3850,5480,6610,7500,8160,8640,9000,9280,9490,9670,2.5117,,,,,,,,,,,,,,Mr.Methee M.,,Glow,Glow,Megger S1-1068,101716389,2019-04-03,33,36,-,62,1000,1000,1000
4202021,2019-08-20 00:00:00,191043915,2500,5602,7300,8350,8950,9500,9800,10340,10680,10990,11260,2.0100,500,4040,5650,6520,7120,7550,7900,8190,8420,8620,8790,2.1757,-,-,,,,,,,,,-,-,,Mr.Jirasak S,,Glow,Glow,Megger S1-1068,101716389,2019-04-03,34,39,-,55,1000,1000,1000
42100325,2019-08-20 00:00:00,191043915,2500,5602,7300,8350,8950,9500,9800,10340,10680,10990,11260,2.0100,500,4040,5650,6520,7120,7550,7900,8190,8420,8620,8790,2.1757,,,,,,,,,,,,,,Jirasak S.,,GLOW-CMT,GLOW,MEGGER S1-1068,101716389,2019-04-03,34,39,-,55,1000,1000,1000
4011560,2019-08-08 00:00:00,191040125,2500,19620,22500,23900,24700,25300,25800,26200,26500,26800,27100,1.3812,500,5620,6670,7560,8220,8900,9340,9870,10340,10810,11190,1.9911,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,32,30,,68,1000,1000,1000
3911888,2019-07-24 00:00:00,191003237,5000,5400,6470,7170,7610,7960,8230,8460,8670,8850,9020,1.6704,500,3340,4200,4550,4860,5090,5310,5460,5620,5760,5890,1.7635,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,35,30,30,53,1000,1000,1000
EDP008001,2019-07-24 00:00:00,191003237,10000,6150,6920,7670,8160,8760,9360,9820,10200,10480,10740,1.7463,5000,3140,3720,4100,4400,4060,4830,5050,5200,5530,5660,1.8025,-,-,-,-,-,-,-,-,-,-,-,-,Investigation for Incident at KT12A on 23 July 2019,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,34,40,40,56,1000,1000,1000
42755,2019-07-10 00:00:00,191019511,5000,4810,6020,6560,6960,7280,7540,7760,7950,8140,8290,1.7235,2500,3900,5120,5950,6630,7210,7730,8200,8620,9010,9360,2.4000,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW,,TESTRANO 600,DA193X,2018-02-16,31,40,40,61,1000,1000,1000
4710350,2019-07-09 00:00:00,,5000,36700,37900,38400,39300,40100,43400,43200,42700,44800,49000,1.3351,2500,18220,22800,24900,25400,27000,29000,30000,31500,32800,33500,1.8386,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW,,Megger S1-1068,1003012101716385,2018-02-28,32,37,36,60,1000,1000,1000
PTE 1689/04,2019-06-12 00:00:00,191028236,5000,3590,3700,3900,4030,4090,4170,4270,4310,4360,4700,1.3092,5000,3030,3600,4300,4400,4700,4850,5100,6010,6310,6560,2.1650,,,,,,,,,,,,,,Mr. Jirasak S.,,CMT-GLOW,GLOW,Megger S1-1068,1003012101716385,2019-04-03,32,30,30,45,1260,1630,1000
57005,2019-06-11 00:00:00,191030988,-,-,,,,,,,,,-,-,2500,1190,1450,1670,1880,2010,2170,2290,2400,2500,2590,2.1765,2500,1162,1482,1769,2010,2200,2390,2550,2700,2830,2950,2.5387,,Chaichaleom W.,Jirasak S.,TIS,GLOW,Megger/MIT515,101434131,2019-03-21,32,36,"40,42,38",72,807,1000,1000
9724076,2019-06-11 00:00:00,191030991,5000,7450,9260,10990,12400,13030,13720,14420,15030,15090,15390,2.0658,2500,5630,6570,7350,7920,8290,8540,8670,8840,8990,9120,1.6199,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,30,30,30,70,1000,1000,1000
PTE 1689/01,2019-06-10 00:00:00,1910.0987,5000,2500,2730,3000,3060,3230,3500,3580,3670,3700,3780,1.5120,2500,3120,4050,4990,5430,6160,6230,7550,7630,7890,8230,2.6378,-,-,,,,,,,,,-,-,,Chaichleom W.,Jirasak S.,TIS,GLOW,Megger/MIT515,101434131,2019-03-21,32,34,34,76,3020,2840,1684
57012,2019-06-02 00:00:00,191028244,-,-,,,,,,,,,-,-,2500,1421,1581,1716,1826,1925,2010,2090,2170,2230,2300,1.6186,-,-,,,,,,,,,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-12-02,35,43,45,56,2540,1000,1000
9724075,2019-06-02 00:00:00,191028248,2500,1598,1894,2100,2240,2360,2450,2520,2585,2640,2680,1.6771,2500,965,1172,1328,1451,1535,1605,1664,1712,1754,1789,1.8539,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,34,40,40,58,1000,1000,1000
54001,2019-05-11 00:00:00,191028229,10000,2980,3470,3850,4120,4310,4440,4630,4750,4840,4930,1.6544,10000,2190,2580,2900,3180,3410,3650,3850,4020,4190,4340,1.9817,-,-,-,-,-,-,-,-,-,-,-,-,Result test after OLTC overhaul.,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,39,41,41,29,1000,1000,1000
3911888,2019-03-19 00:00:00,191013282,2500,5720,6820,7620,8110,8480,8790,9030,9240,9420,9580,1.6748,500,5080,5320,5580,5830,6070,6260,6460,6620,6770,6910,1.3602,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,34,30,30,63,1000,1000,1000
EDP008001,2019-03-14 00:00:00,191013282,5000,5350,7350,8100,8830,9450,10010,10510,11070,11550,11930,2.2299,5000,3130,3800,4300,4740,5140,5490,5840,6130,6420,6700,2.1406,-,-,,,,,,,,,-,-,,Methee M.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,34,35,35,65,1000,1000,1000
4010922,2019-03-12 00:00:00,191013291,2500,5770,6460,6860,7130,7330,7480,7620,7720,7820,7890,1.3674,500,2890,3200,3430,3560,3680,3780,3870,3930,4000,4060,1.4048,,,,,,,,,,,,,,Mr. Jirasak S.,,GLOW-CMT,GLOW,Megger S1-1068,1003012101716385,2019-03-04,32,32,32,55,1000,1000,1000
EDP011601,2019-03-12 00:00:00,191013291,5000,5380,6560,7350,80000,8630,9170,9760,10180,10650,11090,2.0613,2500,2650,3230,3710,4160,4560,4590,5010,5740,6160,6420,2.4226,,,,,,,,,,,,,,Mr. Jirasak S.,,GLOW-CMT,GLOW,Megger S1-1068,1003012101716385,2019-04-03,32,32,32,40,1000,1000,1000
512033,2019-03-04 00:00:00,191011798,10000,6430,8510,9770,10600,11360,11950,12440,12850,13320,13680,2.1275,5000,5870,8200,9660,10950,11580,12300,12890,13430,13930,14410,2.4549,,,,,,,,,,,,,,Methee M.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,34,36,36,56,1000,1000,1000
5513260,2019-03-04 00:00:00,191011798,2500,4560,4940,5060,5120,5200,5250,5300,5320,5340,5350,1.1732,500,7830,8830,9580,10120,10460,11080,11580,11690,11750,11800,1.5070,-,-,,,,,,,,,-,-,,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,34,35,35,56,1000,1000,1000
50310092,2019-02-28 00:00:00,,2500,11630,13280,14310,15130,15540,15920,16180,16500,16820,17100,1.4703,500,5620,6670,7560,8220,8900,9340,9870,10340,10810,11190,1.9911,-,-,,,,,,,,,-,-,After repair oil leak.,Jirasak S.,Pimchart P.,GLOW-CMT,GLOW,Megger S1-1068,1003012101716385,2018-02-28,33,35,35,51,1000,1000,1000
50310092,2019-02-27 00:00:00,,2500,25500,27600,28300,29100,30000,30200,30400,30700,30900,31300,1.2275,500,1,,,,,,,,,10650,10650.0000,-,-,,,,,,,,,-,-,Before repair oil leak.,Jirasak S.,Pimchart P.,GLOW-CMT,GLOW,Megger S1-1068,1003012101716385,2018-02-28,33,35,35,51,1000,1000,1000
14231662_3,2019-02-20 00:00:00,,2500,855000,1343000,1499000,1628000,1954000,2150000,2530000,2670000,2940000,3020000,3.5322,500,115200,125000,133200,138900,143500,139400,143900,144800,145200,145220,1.2606,-,-,,,,,,,,,-,-,,Mr.Methee M.,,Glow,Glow,Megger S1-1068,101716389,2019-04-03,25,-,25,55,1000,1000,1000
14231662_4,2019-02-20 00:00:00,,2500,269000,42400,541000,643000,745000,84300,90700,98600,1054000,1115000,4.1450,500,148000,196000,261000,286000,324000,412000,447000,493000,538000,533000,3.6014,-,-,,,,,,,,,-,-,,Mr.Pimchart P.,,Glow,Glow,Megger S1-1068,101716389,2018-02-16,25,-,25,56,1000,1000,1000
14231662_1,2019-02-11 00:00:00,,2500,456000,766000,1080000,1274000,1403000,1443000,1690000,1780000,1928000,1770000,3.8816,500,300000,440000,579000,701000,815000,923000,1075000,1140000,1270000,1240000,4.1333,-,-,,,,,,,,,-,-,,Mr.Jirasak S,,Glow,Glow,Megger S1-1068,101716389,2019-04-03,24,-,24,55,1000,1000,1000
14231662_2,2019-02-11 00:00:00,,2500,456000,7660000,10800000,12740000,14030000,14430000,1690000,17800000,19280000,1770000,3.8816,500,300000,440000,579000,701000,815000,923000,1075000,1140000,1270000,1240000,4.1333,-,-,,,,,,,,,-,-,,Mr.Pimchart P.,,Glow,Glow,Megger S1-1068,101716389,2019-03-04,25,-,25,55,1000,1000,1000
4010290,2019-01-29 00:00:00,191001485,2500,33.0,36.2,38.4,39.5,40.3,41.0,41.6,42.2,42.6,43.0,1.3030,500,1,,,,,,,,,14.26,14.2600,,-,,,,,,,,,-,-,After repair leaked,Mr. Methee M.,Mr. Phimchart P.,CMT-GLOW,CMT-GLOW,Megger S1-1068,1003012101716385,2018-02-28,32,33,33,39,1000,1000,1000
4010291,2019-01-29 00:00:00,191001485,2500,33,36.2,38.4,39.5,40.3,41,41.6,42.2,42.6,43,1.3030,500,1,-,-,-,-,-,-,-,-,14.26,14.2600,,-,,,,,,,,,-,-,,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,35,35,35,38,1000,1000,1000
4010290,2019-01-28 00:00:00,191001485,2500,29.97,34.1,35.7,36.8,37.5,38.1,38.5,39.0,39.4,39.8,1.3280,500,1,,,,,,,,,13.14,13.1400,,-,,,,,,,,,-,-,Before repair oil leaked,Mr. Methee M.,Mr. Phimchart P.,CMT-GLOW,CMT-GLOW,Megger S1-1068,1003012101716385,2018-02-28,30,32,32,39,1000,1000,1000
4010291,2019-01-28 00:00:00,191001485,2500,29.97,34.1,35.7,36.8,37.5,38.1,38.5,39,39.4,39.8,1.3280,500,1,-,-,-,-,-,-,-,-,13.14,13.1400,-,-,-,-,-,-,-,-,-,-,-,-,Before repair oil leak.,Pimchart P.,,GLOW-CMT,,TESTRANO 600,DA193X,2018-02-16,35,35,35,38,1000,1000,1000
16276521,2019-01-24 00:00:00,191005129,2500,14.55,18.99,21.4,23.2,25.3,26.4,27.5,28.3,29.1,29.6,2.0344,1000,1,1,1,1,1,1,1,1,1,10.05,10.0500,500,1,1,1,1,1,1,1,1,1,20.3,20.3000,LV and TV winding test for 1 Minute,Mr. Methee M.,Mr. Phimchart P.,CMT-GLOW,CMT-GLOW,Megger S1-1068,1003012101716385,2018-02-28,34,34,34,30,1000,1000,1000
57001,2019-01-23 00:00:00,191001477,10000,4430,5060,5460,5750,6010,6250,6450,6580,6750,6880,1.5530,5000,1649,2020,2320,2520,2720,2910,3070,3230,3380,3521,2.1352,,,,,,,,,,,,,Test Result after overhaul OLTC,Mr. Methee M.,Mr. Phimchart P.,CMT-GLOW,CMT-GLOW,Megger S1-1068,1003012101716385,2018-02-28,32,32,32,55,1000,1000,1000
57001,2019-01-22 00:00:00,191001477,10000,3.7,4.0,4.25,4.57,4.59,4.81,4.97,5.17,5.40,5.47,1.4784,,,,,,,,,,,,,,,,,,,,,,,,,test result before overhaul OLTC,Mr. Methee M.,Mr. Phimchart P.,CMT-GLOW,CMT-GLOW,Megger S1-1068,1003012101716385,2018-02-28,,,,,,,
VN13700701_2,2019-01-21 00:00:00,-,2500,2880000,-,-,-,-,-,-,-,-,5000000,1.7361,500,1,,,,,,,,,10410,10410.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger / MIT515,101384824,2018-08-09,26,,,56,1000,1000,1000
VN85042302_2,2019-01-21 00:00:00,,2500,185800,,,,,,,,,342000,1.8407,500,1,,,,,,,,,1809,1809.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101343131,2018-02-18,25.5,,,68,1000,1000,1000
VN13700702_2,2019-01-20 00:00:00,-,2500,75000,-,-,-,-,-,-,-,-,146000,1.9467,500,1,,,,,,,,,3270,3270.0000,-,-,-,-,-,-,-,-,-,-,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger / MIT515,101384824,2018-08-09,22,,,68,1000,1000,1000
VN85040202_1,2019-01-19 00:00:00,-,2500,1049000,,,,,,,,,2400000,2.2879,500,1,,,,,,,,,11060,11060.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101343131,2018-02-18,29,,,53,1000,1000,1000
VN85042301_1,2019-01-19 00:00:00,,2500,1110000,,,,,,,,,1498000,1.3495,500,1,,,,,,,,,6980,6980.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101343131,2018-02-18,28,,,48,1000,1000,1000
VN85040201_1,2019-01-15 00:00:00,-,2500,322700,,,,,,,,,823000,2.5504,500,1,,,,,,,,,13890,13890.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101384824,2018-08-09,22,,,68,1000,1000,1000
VN85040201_3,2019-01-15 00:00:00,-,2500,432300,,,,,,,,,908000,2.1004,500,1,,,,,,,,,21800,21800.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101384824,2018-08-09,24,,,60,1000,1000,1000
VN85040204_1,2019-01-15 00:00:00,-,2500,1118000,,,,,,,,,1432000,1.2809,500,1,,,,,,,,,99900,99900.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101384824,2018-08-09,24,,,66,1000,1000,1000
1LKR050450TER,2019-01-14 00:00:00,,2500,846000,-,-,-,-,-,-,-,-,2260000,2.6714,500,1000,-,-,-,-,-,-,-,-,5160,5.1600,-,-,-,-,-,-,-,-,-,-,-,-,,Jirasak S.,,GLOW-CMT,,Megger S1-1068,1003012101716385,2018-02-28,20,-,23,50,1000,1000,1000
PP0050B01,2019-01-14 00:00:00,181100888,10000,1500,-,-,-,-,-,-,-,-,2010,1.3400,2500,3300,-,-,-,-,-,-,-,-,6321,1.9155,,-,,,,,,,,,-,-,,Methee M.,,GLOW-CMT,,Megger S1-1068,1003012101716385,0000-00-00,30,31,31,76,1000,1000,1000
TP70279703,2019-01-11 00:00:00,,5000,1365,1624,1796,1949,2080,2220,2320,2400,2490,2540,1.8608,5000,2590,3070,3420,3580,3810,4010,4080,4330,4630,4830,1.8649,,-,,,,,,,,,-,-,,phanasak K.,Jirasak S.,"TIS Engineering and Service Co.,Ltd.",GLOW-CMT,Megger / MIT515,101228740,2016-11-18,23.3,36,36,62,1000,1000,1000
VN13700701_1,2019-01-11 00:00:00,-,2500,2180000,,,,,,,,,5000000,2.2936,500,1,,,,,,,,,780000,780000.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkrit C.,TIS,GHECO-ONE,Megger / MIT515,101343131,2018-02-18,23,-,-,67,1000,1000,1000
VN13700702_1,2019-01-10 00:00:00,-,2500,238000,,,,,,,,,414000,1.7395,500,1,,,,,,,,,165500,165500.0000,--,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger / MIT515,101384824,2019-08-09,24,,,69,1000,1000,1000
VN85042302_1,2019-01-10 00:00:00,,2500,16570,,,,,,,,,54700,3.3011,500,1,,,,,,,,,20800,20800.0000,-,-,,,,,,,,,-,-,,Kritsana N.,Jakkit C.,TIS,GHECO-ONE,Megger/MIT515,101384824,2018-08-09,24,,,74,1000,1000,1000
