serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
4803168,2025-04-30 00:00:00,,1000,8630,,,,,,,,,10530,1.2202,-,-,,,,,,,,,-,-,-,-,,,,,,,,,-,-,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,0000-00-00,32,30,30,45,1000,1000,1000
4803321,2025-04-30 00:00:00,,2500,2760,,,,,,,,,4830,1.7500,500,2140,,,,,,,,,3980,1.8598,-,-,,,,,,,,,-,-,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,0000-00-00,32,30,30,45,1000,1000,1000
57005,2025-04-27 00:00:00,,-,-,-,-,-,-,-,-,-,-,-,-,2500,611,750,790,852,863,991,1041,1053,1091,1117,1.8282,2500,985,1291,1562,1793,2000,2180,2340,2480,2620,2740,2.7817,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,-,2024-11-11,35,40,40,56,1000,1000,1000
4810106,2025-03-20 00:00:00,,5000,4980,5840,6510,7050,7500,7850,8100,8450,8700,8920,1.7912,2500,2180,2890,3420,3880,4270,4620,4930,5210,5470,5710,2.6193,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
PTE 1689/03,2025-02-26 00:00:00,,2500,6210,7010,7540,8010,8390,8730,9000,9280,9520,9710,1.5636,2500,4120,5510,6650,7680,8590,9480,10140,10780,11370,11910,2.8908,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09,33,35,35,61,1000,1000,1000
20083122TIC008,2025-02-21 00:00:00,,-,-,-,-,-,-,-,-,-,-,-,-,2500,5585,6540,6990,7250,7520,7840,8180,8400,8410,8660,1.5506,,-,-,-,-,-,-,-,-,-,-,-,HV side can not test because can not dis connect neutral point of PT,Mr. Jirasak S,,GPSC,,Megger S1-1068,,0000-00-00,31,36,36,62,1000,1000,1000
20083122TIC003,2025-02-12 00:00:00,,2500,3930,4510,5000,5360,5700,5990,6230,6540,6760,6960,1.7710,2500,4440,5170,5780,6270,6680,7080,7390,7710,7980,8230,1.8536,,-,-,-,-,-,-,-,-,-,-,-,6 Year PM Transformer,Mr. Jirasak S,,GPSC,,MEGGER MIT 515,,0000-00-00,31,36,36,62,1000,1000,1000
510049,2025-02-05 00:00:00,,5000,16350,18310,19310,19720,20100,20400,20600,21300,21400,21450,1.3119,2500,42000,43700,44800,45700,46800,48000,49200,50100,51100,51900,1.2357,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,31,30,30,63,1000,1000,1000
VN00408,2025-02-05 00:00:00,,2500,16330,,,,,,,,,23200,1.4207,2500,14460,,,,,,,,,22700,1.5698,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,,,0000-00-00,32,30,30,60,16680,1000,1000
5001700,2025-01-31 00:00:00,,1000,8170,,,,,,,,,9970,1.2203,250,1,,,,,,,,,8030,8030.0000,-,-,,,,,,,,,-,-,,Mr.Polasart T.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,0000-00-00,32,32,32,44,1000,1000,1000
