serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,hl_test_voltage,chl_ch_cap,chl_ch_pf_1,chl_ch_pf_2,chl_ch_pf_ma,chl_ch_pf_p,chl_cap,chl_pf_1,chl_pf_2,chl_pf_ma,chl_pf_p,ch_cap,ch_pf_1,ch_pf_2,ch_pf_ma,ch_pf_p,lh_test_voltage,clh_cl_cap,clh_cl_pf_1,clh_cl_pf_2,clh_cl_pf_ma,clh_cl_pf_p,clh_cap,clh_pf_1,clh_pf_2,clh_pf_ma,clh_pf_p,cl_cap,cl_pf_1,cl_pf_2,cl_pf_ma,cl_pf_p,th_test_voltage,ct_cth_cap,ct_cth_pf_1,ct_cth_pf_2,ct_cth_pf_ma,ct_cth_pf_p,cth_cap,cth_pf_1,cth_pf_2,cth_pf_ma,cth_pf_p,ct_cap,ct_pf_1,ct_pf_2,ct_pf_ma,ct_pf_p,oil_maintank_cap,oil_maintank_pf,oil_oltc_cap,oil_oltc_pf,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxhv_tand,maxchv_change,maxlv_tand,maxclv_change,maxtv_tand,maxctv_change,maxoil_maintank_tand,maxoil_oltc_tand,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9
PTE 1689/02,2025-05-22 00:00:00,,31,32,32,70,10,17286.5,0.404,0.311,54.32,2195.04,8298.8,0.225,0.173,26.07,587.08,8987.4,0.568,0.437,28.24,1605.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,29094.1,0.323,0.248,54.85,1063.6,8299,0.257,0.198,15.64,241.82,20794.9,0.347,0.267,39.2,817.36,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.437,4.69,0,0,0.267,0.85,,,3.57,4.69,2.39,-,-,-,0.85,0.04,0.14
EDP008001,2025-05-09 00:00:00,,35,37,37,56,10,11616.7,0.289,0.199,36.5,1055.74,7482.2,0.207,0.143,23.51,486.75,4134.2,0.437,0.301,13,568.69,2,17911.2,0.304,0.210,11.26,68.59,7478.7,0.205,0.141,4.7,19.31,10423.9,0.375,0.259,6.55,49.24,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.301,4,0.259,0.79,,,,,4.00,0.47,0.19,0.74,0.62,0.79,,,
4803168,2025-04-30 00:00:00,,32,33,33,40,3,3444,0.462,0.346,3.249,45,2192,0.381,0.285,2.066,24,1252,0.575,0.431,1.183,20,100,8034,0.575,0.431,0.253,0,2192,0.382,0.286,0.069,0,5842,0.652,0.489,0.183,0,,,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,0.431,0.48,0.489,0.05,,,,,0.20,0.48,0.05,0.00,0.00,0.05,,,
4803321,2025-04-30 00:00:00,,,,,,6,5467,0.42,0.336,10.311,260,3647,0.431,0.345,6.875,178,1820,0.385,0.308,3.437,79,3,9042,0.481,0.385,8.524,123,3647,0.431,0.345,3.437,44,5394,0.51,0.408,5.087,78,,,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Pornpong S.,็Hitachi Energy,GPSC,,,,,0.345,0.11,0.408,0.08,,,,,0.00,0.11,0.05,0.03,0.00,0.08,,,
4810106,2025-03-20 00:00:00,,29,32,32,48,10,11004.4,0.199,0.153,34.58,690.49,8079.4,0.1659,0.1277,25.38,420.99,2925.0,0.292,0.2252,9.20,269.01,2.00,19628.6,0.2498,0.1923,61.67,1540.35,8075.5,0.1648,0.1269,25.37,418.19,11554.6,0.3214,0.2475,36.31,1167.10,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.2252,0.15,0.2475,0.08,,,,,0.04,0.15,0.11,0.04,0.08,0.06,,,
20083122TIC008,2025-02-21 00:00:00,,32,30,30,60,2,304969.4,0.0618,0.0494,191.49,236.53,12736,0.1874,0.1499,8,29.96,292231,0.0583,0.0466,183.57,213.81,5,29605.4,0.3207,0.2566,46.51,745.72,12739.2,0.1976,0.1581,20.01,197.73,16865.3,0.436,0.3494,26.50,578.58,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,,0.1499,0,0.3494,2.43,,,,,0.00,0.00,0.00,1.97,1.63,2.43,,,
20083122TIC003,2025-02-12 00:00:00,,29,30,30,72,1,539135.8,0.0928,0.0742,1693.76,15717.59,15564.5,0.1878,0.102,48.90,918.25,523570,0.0923,0.0738,1644.86,15174.67,2,40293,0.3155,0.2524,126.59,3993.78,15572,0.130,0.104,48.92,636.13,24721,0.4323,0.3458,77.67,3357.65,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,6 Year PM Transformer,0.102,2.89,0.3458,2.94,,,,,0.00,0.00,2.89,2.28,2.18,2.94,,,
VN00408,2025-02-05 00:00:00,,30,30,30,40,10,10451,0.3690,0.2952,32.84,1211.95,7930.7,0.1505,0.1204,24.91,374.86,2505.3,0.3248,0.2598,7.88,255.91,3,16966.7,0.4116,0.3293,15.99,197.47,7929.1,0.1447,0.1181,7.47,33.11,9038.2,0.6372,0.5098,8.52,162.88,,,,,,,,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,CH158W,,,0.2952,1.02,0.5098,1.54,,,,,0.39,1.02,0.01,0.37,1.54,1.01,,,
510049,2025-02-05 00:00:00,,31,31,31,63,10,21490,0.2376,0.1901,67..52,1604.35,9266,0.1632,0.1306,29.11,475,12223.1,0.2945,0.2356,38.41,1131.27,,,,,,,,,,,,,,,,,6,11836.3,0.1828,0.1462,37.19,679.79,9266.6,0.1614,0.1291,29.11,469.83,2568.5,0.2572,0.257,8.08,207.76,,,,,Mr. Pimchat P.,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.2356,0.77,0,0,0.257,4.02,,,0.14,0.77,0.23,-,,,0.03,4.02,0.23
5001700,2025-01-31 00:00:00,,32,32,32,44,3,3474,0.323,0.242,3.277,32,2420,0.331,0.248,2.281,23,1154,0.302,0.227,0.996,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Polasart T.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.248,2.22,0,,,,,,2.22,1.94,0.00,,,,,,
5101711,2025-01-31 00:00:00,,,,,,6,5507,0.214,0.18,10.386,134,3721,0.228,0.192,7.014,96,1786,0.192,0.161,3.372,39,3,8902,0.361,0.303,8.392,91,3721,0.228,0.192,3.507,24,5181,0.454,0.381,4.886,67,,,,,,,,,,,,,,,,,,,,,Mr.Polasart T.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,0.192,0.56,0.381,0.3,,,,,0.02,0.56,0.40,0.20,0.15,0.30,,,
PTE 1689/03,2025-01-26 00:00:00,,25,25,25,60,10,16919.4,0.3394,0.3021,53.16,1804.55,8293.5,0.2420,0.2154,26.05,630.60,8625.3,0.4368,0.3887,27.11,1189.99,6,28842.8,0.3109,0.2767,54.37,1014.25,8293.9,0.2410,0.2145,15.63,226.06,20548.5,0.3408,0.3033,38.74,792.17,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.3887,0.27,0.3033,0.25,,,,,0.25,0.27,0.23,0.10,0.04,0.25,,,
