serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,hl_test_voltage,chl_ch_cap,chl_ch_pf_1,chl_ch_pf_2,chl_ch_pf_ma,chl_ch_pf_p,chl_cap,chl_pf_1,chl_pf_2,chl_pf_ma,chl_pf_p,ch_cap,ch_pf_1,ch_pf_2,ch_pf_ma,ch_pf_p,lh_test_voltage,clh_cl_cap,clh_cl_pf_1,clh_cl_pf_2,clh_cl_pf_ma,clh_cl_pf_p,clh_cap,clh_pf_1,clh_pf_2,clh_pf_ma,clh_pf_p,cl_cap,cl_pf_1,cl_pf_2,cl_pf_ma,cl_pf_p,th_test_voltage,ct_cth_cap,ct_cth_pf_1,ct_cth_pf_2,ct_cth_pf_ma,ct_cth_pf_p,cth_cap,cth_pf_1,cth_pf_2,cth_pf_ma,cth_pf_p,ct_cap,ct_pf_1,ct_pf_2,ct_pf_ma,ct_pf_p,oil_maintank_cap,oil_maintank_pf,oil_oltc_cap,oil_oltc_pf,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxhv_tand,maxchv_change,maxlv_tand,maxclv_change,maxtv_tand,maxctv_change,maxoil_maintank_tand,maxoil_oltc_tand,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9
20083122TIC003,2022-12-16 00:00:00,,31,32,32,66,5,22155.5,0.162,0.118,66.47,1075.98,15547.2,0.155,0.113,48.84,758,7608.2,0.182,0.133,17.63,320.43,5,40178.3,0.284,0.205,126.23,3552.81,15547.4,0.156,0.114,48.84,762.65,24630.2,0.361,0.629,77.39,2797,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA365A,2021-01-15 00:00:00,,0.133,4.43,0.629,2.78,,,,,1.15,4.43,2.78,1.99,1.80,2.78,,,
4011560,2022-12-02 00:00:00,,34,45,45,56,10,2513.6,0.30,0.171,7.91,237.56,1720.3,0.325,0.185,5.4,175.93,792.1,0.243,0.138,2.5,60.73,0.100,6646.3,0.396,0.226,0.21,0.08,1719.9,0.325,0.185,0.05,0.02,4926.5,0.421,0.240,0.16,0.07,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.185,0.49,0.24,1.11,,,,,0.25,0.49,0.10,0.88,1.11,0.18,,,
5200523,2022-10-28 00:00:00,,30,,40,60,2.5,4420.1,1.19,0.8,13.9,1661.2,3024.7,1.2,0.8,9.5,1142.21,1395.4,1.18,0.79,4.39,518.99,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.8,0.03,0,0,,,,,0.00,0.03,0.02,-,-,-,,,
5201090,2022-10-28 00:00:00,,31,30,28,60,5,7129.1,1.18,0.911,22.4,2653.18,4595.6,0.879,0.78,14.43,1269.67,2533.5,1.735,1.33,7.97,1383.51,2.5,11752.8,1.023,0.788,36.63,3780.51,4595.9,0.872,0.78,14.43,1259.26,7156.9,1.12,0.863,22.5,2521.25,,,,,,,,,,,,,,,,,,,,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,1.33,0.02,0.863,0.02,,,,,0.00,0.02,0.01,0.01,0.01,0.02,,,
5110021,2022-10-25 00:00:00,,32,34,34,60,10,11981.1,0.2328,0.1699,37.65,876.31,8843.5,0.1617,0.1181,27.78,449.3,3137.5,0.4338,0.3167,9.87,428.01,6,21756.4,0.2270,0.1657,41.02,558.73,8843.9,0.1608,0.1174,16.67,160.79,12912.3,0.2735,0.1997,24.34,399.54,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.3167,0.02,0.1997,0.01,,,,,0.00,0.02,0.01,0.00,0.00,0.01,,,
4710348,2022-08-13 00:00:00,,34,33,33,56,10,10259.3,0.198,0.1485,32.24,638.41,7518.5,0.1498,0.1123,23.62,252.75,2740.7,0.3315,0.2486,8.62,285.7,10,20035.8,0.2499,0.1875,62.95,1573.5,7515.1,0.1481,0.1111,23.61,349.71,12514.9,0.3108,0.2331,39.33,1222.46,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO600,DA212X / RA043X,,,0.2486,1.13,0.2331,5.58,,,,,0.92,1.13,0.84,3.76,5.58,0.81,,,
5110023,2022-08-02 00:00:00,,31,30,30,72,10,8365.2,0.2044,0.1636,26.29,537.46,5781,0.1664,0.1331,18.16,302.19,2584.2,0.2833,0.2266,8.13,230.25,5,14697,0.2815,0.2252,23.09,324.93,5781.1,0.1654,0.1323,9.08,75.1,8916.4,0.3579,0.2863,14.01,250.7,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2022-08-27 00:00:00,,0.2266,0,0.2863,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,
6310535,2022-06-01 00:00:00,,34,34,34,60,10,11410.6,0.158,0.115,35.490,0.561,7599.17,0.135,0.099,23.634,0.318,3811.8,0.207,0.151,11.856,0.246,10,19256.55,0.239,0.174,59.893,1.431,7597.09,0.138,0.101,23.267,0.326,11660.0,0.289,0.211,36.264,1.049,,,,,,,,,,,,,,,,,,,,,Panom Nonkong,ERWIN B.,TIRATHAI COMPANY,TJEL,Doble M4100,121532128,,,0.151,0,0.211,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,
4803321,2022-05-28 00:00:00,,30,32,30,59,5,5467.6,0.454,0.363,17.19,780.4,3645,0.465,0.371,11.45,533.47,1822.7,0.43,0.344,5.74,246.93,2.5,9039.6,0.466,0.372,28.41,1324.16,3644.8,0.464,0.37,11.45,532.17,5394.8,0.467,0.373,16.95,791.99,,,,,,,,,,,,,,,,,,,,,Mr.Wasu Th.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.371,0.04,0.373,0.02,,,,,0.01,0.04,0.00,0.01,0.01,0.02,,,
4803168,2022-05-28 00:00:00,,30,40,40,71,2.5,3437.1,0.431,0.275,10.81,465.95,2191,0.501,0.319,6.88,354.02,1246.1,0.285,0.182,3.92,111.92,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Patchayanon M.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.319,0.01,0,0,,,,,0.00,0.01,0.00,-,-,-,,,
4810106,2022-05-25 00:00:00,,33,38,38,62,10,10999.9,0.2142,0.1435,34.57,740.49,8070.5,0.1576,0.1056,25.35,399.66,2929.3,0.3565,0.2388,9.21,328.37,10,19637,0.2565,0.1719,61.7,1582.69,8070.3,0.1565,0.1048,25.35,396.72,11566.7,0.3254,0.2180,36.35,1182.85,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2022-08-27 00:00:00,,0.2388,0,0.218,0.02,,,,,0.00,0.00,0.00,0.00,0.02,0.00,,,
5103170,2022-05-23 00:00:00,,34,42,42,57,2.5,4563.8,1.292,0.827,14.35,1854.3,3141.7,1.471,0.937,9.87,1452.4,1422.1,0.897,0.572,4.48,401.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Tanaruk K.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.937,0.02,,,,,,,0.02,0.01,0.02,,,,,,
5103171,2022-05-23 00:00:00,,34,38,42,69,2.5,4605.4,0.978,0.626,14.48,1416.11,3114.9,0.971,0.620,9.81,953.12,1490.5,0.986,0.631,4.67,462.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Tanaruk K.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.631,0.03,,,,,,,0.01,0.03,0.03,,,,,,
5103169,2022-05-22 00:00:00,,34,36,34,57,2.5,4473.3,0.533,0.357,14.06,749.97,3060.1,0.516,0.344,9.61,496.67,1413.2,0.569,0.38,4.45,253.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.38,0.01,,,,,,,0.01,0.01,0.00,,,,,,
5103168,2022-05-22 00:00:00,,34,34,34,53,2.5,4545.9,0.443,0.323,14.29,634.14,3109.2,0.527,0.383,9.76,514.56,1436.7,0.264,0.192,4.53,119.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.383,0.05,,,,,,,0.02,0.05,0.01,,,,,,
5103176,2022-05-14 00:00:00,,32,50,52,65,10,8255.5,0.191,0.093,25.94,497.3,5993,0.212,0.103,18.83,399.72,2262.6,0.137,0.067,7.12,97.58,2.5,11960.5,0.206,0.101,37.58,776.27,5993.6,0.209,0.102,18.83,394.61,5966.9,0.203,0.099,18.76,381.67,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.103,0.03,0.102,0.02,,,,,0.01,0.03,0.00,0.00,0.02,0.01,,,
57012,2022-03-18 00:00:00,,28,34,34,67,1,98765.9,0.1694,0.1237,31.03,52.57,11211.7,0.1708,0.1247,3.52,6.02,87549.6,0.1710,0.1249,27.51,47.07,5,30891.5,0.1648,0.1203,48.53,399.79,11215.7,0.1738,0.1269,17.62,153.09,19675,0.1668,0.1217,30.91,257.74,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,Mr. Jirasak S.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.1249,0.24,0.1269,7.53,,,,,0.24,0.24,0.20,7.53,0.29,0.19,,,
PTE 1689/04,2022-03-13 00:00:00,,,,,,10,17182,0.387,0.309,53.98,2091,8517,0.283,0.226,26.76,758.73,8663.1,0.475,0.38,27.23,1295,10,28706,0.321,0.257,90.19,2901,8517.2,0.227,0.182,26.76,609.47,20188.9,0.364,0.291,63.44,2309.65,,,,,,,,,,,,,,,,,,,,,Mr.JIrasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.38,3.57,0.291,3.23,,,,,3.57,0.86,3.32,0.89,0.13,3.23,,,
5102852,2022-03-08 00:00:00,,30,32,32,74,10,8455.9,0.235,0.181,26.57,626.4,6088,0.272,0.208,19.13,521.06,2367.9,0.141,0.108,7.45,105.37,2.5,12256.9,0.257,0.198,38.52,991.99,6088.5,0.269,0.205,19.43,516.35,6168.4,0.245,0.188,19.39,475.63,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Panya L.,TIS,GPSC,TESTRANO 600,GA635A,2022-02-26 00:00:00,,0.208,0.04,0.205,0.01,,,,,0.01,0.04,0.00,0.01,0.01,0.01,,,
3911888,2022-02-13 00:00:00,,35,35,35,50,10,2678.6,0.405,0.2917,8.42,341.31,1329.1,0.4497,0.3238,4.18,187.78,1348.4,0.3610,0.2599,4.25,153.28,0.1,4932.1,0.3381,0.2434,15.50,524.20,1328.8,0.4515,0.3251,4.17,188.48,3603.3,0.2952,0.2126,11.33,334.47,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,,0.3238,0.1,0.3251,0.41,,,,,0.05,0.10,0.00,0.27,0.41,0.10,,,
5101711,2022-02-02 00:00:00,,30,38,38,63,5,5506.6,0.189,0.144,17.31,327.09,37106,0.195,0.150,16.06,227.01,1796,0.178,0.137,5.65,100.5,2.5,8884.3,0.218,0.163,27.92,590.75,3710.7,0.193,0.148,11.66,224.9,5173.6,0.224,0.173,16.26,365.82,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2021-01-15 00:00:00,,0.15,0.01,0.173,0.02,,,,,0.01,0.00,0.00,0.00,0.01,0.02,,,
PPD0225B01,2022-01-31 00:00:00,,,,,,10,11362.5,0.215,0.161,35.71,767.1,7755.5,0.2129,0.1597,24.36,518.78,3607.4,0.2139,0.1604,11.34,242.63,6,21123.5,0.2299,0.1724,66.37,1525.74,7755.1,0.212,0.159,24.36,516.46,13367.9,0.2408,0.1806,42.01,1011.67,,,,,,,,,,,,,,,,,,,,,Mr.Methee M.,,GPSC,,,,,,0.161,0.09,0.1806,0.11,,,,,0.00,0.09,0.01,0.00,0.11,0.00,,,
PP0225B01,2022-01-31 00:00:00,,,,,,10,11362.5,0.215,0.161,35.71,767.1,7755.5,0.213,0.159,24.36,518.78,3607.4,0.214,0.16,11.34,242.63,6,21123.5,0.229,0.172,66.37,1525.74,7755.1,0.212,0.159,24.36,516.46,13367.9,0.241,0.181,42.01,1011.67,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.161,0.09,0.181,0.11,,,,,0.00,0.09,0.01,0.00,0.11,0.00,,,
5001700,2022-01-31 00:00:00,,33,32,32,72,2.5,3553,0.367,0.283,11.17,410.77,2420.6,0.341,0.252,7.6,295.57,1132.4,0.439,0.326,3.57,151.2,,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Worapon J.,Mr.Aekkarat M.,TIS,GPSC,TESTRANO 600,GA635A,2021-01-15 00:00:00,,0.326,0.04,0,0,,,,,0.00,0.04,0.02,-,-,-,,,
4010290,2022-01-28 00:00:00,,33,35,35,57,10,2670.2,0.3103,0.2234,8.40,260.57,1846.6,0.3088,0.2224,5.80,179.16,822.3,0.3103,0.2234,2.59,80.45,0.1,4795.9,0.3355,0.2416,15.08,505.81,1877.9,0.3889,0.2800,5.90,229.42,2917.7,0.3055,0.2200,9.18,280.34,,,,,,,,,,,,,,,,,,,,,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.2234,0.48,0.28,2.19,,,,,0.26,0.32,0.48,1.06,0.34,2.19,,,
4010291,2022-01-25 00:00:00,221004092,29,35,35,64,10,2695.6,0.3353,0.2414,8.48,284.29,1865.8,0.3183,0.2292,5.86,186.56,828.5,0.3746,0.2697,2.61,97.84,0.1,4614.1,0.3193,0.2299,14.51,463.17,1866.1,0.3193,0.2299,5.86,187.17,2747.9,0.3199,0.2303,8.64,276.48,,,,,,,,,,,,,,,,,,,,,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.2697,0.91,0.2303,0.73,,,,,0.61,0.91,0.47,0.63,0.73,0.48,,,
20083122TIC008,2022-01-12 00:00:00,22001520,35,35,35,35,1,-,0.0718,0.0517,96.05,68.97,12713.5,0.186,0.134,4,7.45,-,0.069,0.05,92.05,63.88,1,29493.7,0.272,0.196,9.27,25.19,12713.7,0.258,0.186,3.99,10.32,16766.6,0.278,0.2,5.27,14.68,,,,,,,,,,,,,,,,,,,,,Mr.Pimchart P.,,GPSC,,TESTRANO 600,DA193X,,,0.134,2.22,0.2,2.22,,,,,-,-,2.22,1.58,1.04,2.22,,,
PP0050B01,2022-01-05 00:00:00,211055129,32,34,34,56,2,-,0.193,0.155,353.48,6835.79,7244.1,0.218,0.174,22.76,495.64,-,0.192,0.154,330.71,6363.03,2,18655.7,0.2322,0.1857,58.62,1361,7244.2,0.2212,0.177,22.76,503.46,11405.8,0.246,0.1968,35.84,881.63,,,,,,,,,,,,,,,,,,,,,Mr.Methee M.,,GPSC,,TESTRANO 600,DA193X,,HV injection from N (Transformer side) and Open Ground from GIS.,0.174,0.11,0.1968,3.15,,,,,-,-,0.11,1.99,3.15,0.14,,,
6410137,2021-12-14 00:00:00,,,,24.6,,10,-,-,-,-,-,3950.54,0.178,0.16,12.287,219,1333.79,0.308,0.27,4.149,128,10,-,-,-,-,-,3950.54,0.178,0.16,12.287,219,4196.9,0.244,0.22,13.053,319,,,,,,,,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,0.27,0,0.22,0,,,,,-,0.00,0.00,-,0.00,0.00,,,
6410131,2021-12-13 00:00:00,,,,24.5,,10,5106.53,-,-,-,-,3795.98,0.16,0.144,11.807,189,1310.55,0.314,0.283,4.076,128,10,8111.27,-,-,-,-,3795.98,0.16,0.144,11.807,189,4315.29,0.213,0.192,13.421,285,,,,,,,,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,0.283,0.04,0.192,0.03,,,,,0.03,0.04,0.03,0.02,0.01,0.03,,,
56016,2021-12-12 00:00:00,,26,38,38,70,10,9893.8,0.2372,0.1589,31.09,0.7375,6898.4,0.1977,0.1325,21.67,0.4284,2995.4,0.3281,0.2198,9.42,0.3091,10,22137.7,0.226,0.1517,69.56,1.5753,6898.5,0.195,0.1308,21.67,0.4230,15239.2,0.241,0.1612,47.89,1.1523,,,,,,,,,,,,,,,,,,,,,Mr. Tanasak  Khunnam,Mr. Pitsanuvet  Khantee,"TIS Engineering and Service Co., Ltd",GPSC,TESTRANO600,DA212X / RA043X,2021-08-17 00:00:00,,0.2198,0.42,0.1612,0.43,,,,,0.20,0.29,0.42,0.36,0.33,0.43,,,
6410130,2021-12-09 00:00:00,,,,24.1,,10,5188.16,-,-,-,-,3859.37,0.165,0.15,12.003,198,1328.79,0.291,0.265,4.133,120,10,8107.24,-,-,-,-,3859.37,0.165,0.15,12.003,198,4247.87,0.205,0.187,13.212,271,,,,,,,,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,0.265,0.06,0.187,0.02,,,,,0.02,0.06,0.01,0.02,0.02,0.01,,,
20083122TIC003,2021-08-19 00:00:00,211033257,31,32,32,63,2,541661.7,0.0673,0.0538,1701.7,11453.41,15552.7,0.164,0.1312,48.86,801.27,526122.3,0.067,0.0536,1652.88,11067.04,2,40257.9,0.2961,0.2369,126.48,3744.8,15552.8,0.1816,0.1452,48.86,887.1,24704.9,0.3979,0.3183,77.62,3088.36,,,,,,,,,,,,,,,,,,,,,Mr.Thanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,HV side inject from Neutral bushing and open ground bar GIS side,0.1312,0.33,0.3183,0.12,,,,,0.32,0.33,0.07,0.02,0.10,0.12,,,
9624007,2021-08-09 00:00:00,211007491,32,40,40,64,6,10838,0.1447,0.0926,20.43,177.46,8833.2,0.1429,0.0914,16.65,142.71,2004.1,0.1504,0.0962,3.78,34.13,2,18400,0.2356,0.1508,11.56,54.48,8829.9,0.1416,0.0907,5.55,15.72,9562.1,0.3229,0.2066,6.01,38.81,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.0962,0.15,0.2066,0.06,,,,,0.03,0.15,0.06,0.06,0.01,0.03,,,
EDP011601,2021-08-02 00:00:00,211028715,33,35,35,67,10,11368.8,0.2148,0.1439,35.72,767.27,7381.0,0.1372,0.1372,23.19,474.93,3990.9,0.3202,0.2145,12.54,401.39,10,17110.6,0.280,0.1876,53.76,1505.30,7380.9,0.2050,0.1373,23.19,475.26,9728.9,0.338,0.2265,30.57,1033.40,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-08-02 00:00:00,,0.2145,3.24,0.2265,0.12,,,,,1.15,3.24,0.06,0.03,0.12,0.08,,,
EDP011601,2021-08-02 00:00:00,211028715,31,38,38,67,10,11368.8,0.2148,0.1439,35..72,767.27,7381.0,0.2048,0.1372,23.19,474.93,3990.9,0.3202,0.2145,12.54,401.39,10,17110.6,0.280,0.1876,53.76,1505.3,7380.9,0.2050,0.1373,23.19,475.26,9728.9,0.3380,0.2265,30.57,1033.4,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.2145,3.24,0.2265,0.12,,,,,1.15,3.24,0.06,0.03,0.12,0.08,,,
512033,2021-07-21 00:00:00,211028412,32,32,32,60,10,9430.3,0.250,0.2041,29.63,785.3,6170.6,0.1990,0.1533,19.39,385.83,3259.5,0.3874,0.2983,10.25,397.06,10,15815.6,0.2196,0.1691,49.70,1091.47,6170.6,0.1989,0.1531,19.39,385.55,9644.4,0.2325,0.1790,30.31,704.61,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.2983,0.29,0.179,0.1,,,,,0.11,0.29,0.06,0.10,0.10,0.04,,,
5001766,2021-07-16 00:00:00,,33,32,32,72,2.5,3442,0.257,0.198,10.82,278.84,2341.1,0.244,0.188,7.35,179.66,1100.9,0.286,0.22,3.47,99.18,-,-,,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Waranon T.,TIS,GPSC,TESTRANO 600,GA635A,2021-01-15 00:00:00,,0.22,0.08,0,0,,,,,0.00,0.08,0.00,-,-,-,,,
5001769,2021-07-15 00:00:00,,36,39,39,77,5,5326.3,0.553,0.365,16.74,926.49,3523.4,0.512,0.332,11.07,567.49,1802.9,0.637,0.417,5.67,359,2.5,9171.3,0.542,0.359,28.82,1563.1,3523.2,0.4530,0.292,11.07,501.38,5648.1,0.598,0.394,17.75,1061.73,,,,,,,,,,,,,,,,,,,,,Mr.Tanasak K.,Mr.Waranon T.,TIS,GPSC,TESTRANO 600,GA635A,2021-11-05 00:00:00,,0.417,0.05,0.394,0.01,,,,,0.01,0.05,0.01,0.00,0.00,0.01,,,
383204886,2021-07-10 00:00:00,211023164,32,35,35,68,6,5675.7,0.2869,0.2869,17.84,511.79,3940.7,0.2067,0.2067,12.38,255.94,1735,0.4686,0.4686,5.46,255.85,3,8886.5,0.3082,0.3082,27.93,860.72,3938.2,0.2056,0.2056,12.37,254.43,4944.1,0.3847,0.3847,15.54,597.92,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.4686,0.45,0.3847,0.1,,,,,0.07,0.45,0.10,0.00,0.10,0.02,,,
4710349,2021-07-07 00:00:00,211023163,33,32,32,60,10,10710.5,0.2635,0.2029,33.66,886.88,7963.5,0.1520,0.1170,25.02,380.23,2746.8,0.5776,0.4448,8.64,499.03,2,21169.4,0.2911,0.2241,13.30,77.42,7960.2,0.1504,0.1158,5,15.05,13205.7,0.3764,0.2898,8.30,62.48,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-18 00:00:00,,0.4448,2.52,0.2898,2.49,,,,,1.69,0.62,2.52,0.92,0.03,2.49,,,
PTE 1689/01,2021-07-04 00:00:00,201022875,34,42,42,62,10,16876,0.4158,0.2536,53.03,2204.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.2536,1.79,0,0,,,,,1.79,-,-,-,-,-,,,
5011858,2021-05-09 00:00:00,211003692,35,34,34,61,2,13388.9,0.1825,0.133,42.07,767.76,11059.9,0.1592,0.1162,34.75,553.28,2325.4,0.2928,0.2137,7.32,214.15,2,19549.8,0.2106,0.1537,61.43,1293.43,11059.9,0.1589,0.116,34.75,552.21,8483.8,0.2784,0.2032,26.66,742.28,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.2137,0.31,0.2032,0.17,,,,,0.08,0.31,0.06,0.10,0.17,0.10,,,
5011857,2021-05-08 00:00:00,211003691,30,40,40,52,2,107488.5,0.1286,0.0823,67.54,173.65,25771.5,0.1404,0.0899,16.19,45.49,81718.6,0.1278,0.0818,51.35,131.24,2,42460.9,0.1859,0.119,26.68,99.17,25773,0.1434,0.0918,16.19,46.43,16688.2,0.2591,0.1658,10.49,54.36,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,HV test from N bushing (Transformer side),0.0899,0.28,0.1658,1.42,,,,,0.00,0.00,0.28,0.55,1.42,0.00,,,
PP0016B01,2021-02-13 00:00:00,211006132,28,32,32,72,2,-,0.197,0.151,74.71,293.9,-,0.241,0.157,4.33,17.65,-,0.197,0.152,70.39,277.4,5,-,0.311,0.239,29.55,459.34,-,0.207,0.16,10.82,112.41,-,0.376,0.289,18.74,352.48,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Sittpong K.,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.157,0,0.289,0,,,,,-,-,-,-,-,-,,,
3710737,2021-02-05 00:00:00,201007518,30,29,29,41,5,2636.3,0.426,0.349,4.15,88.29,1194.5,0.401,0.329,1.88,37.67,1441.8,0.447,0.367,2.27,50.72,0.1,5484.3,0.349,0.286,0.17,0.06,1195.7,0.399,0.327,0.04,0.02,4288.6,0.33,0.2706,0.13,0.04,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,NHT/NRV,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.367,1.44,0.327,0,,,,,0.97,0.57,1.44,0.00,0.00,0.00,,,
54002,2021-02-03 00:00:00,201007518,29,36,36,62,10,10325.7,0.2516,0.2013,32.45,816.47,6921.9,0.2018,0.1614,21.75,438.85,3404,0.3524,0.2819,10.70,377.2,10,23059.6,0.2526,0.2021,72.45,1830.29,6922.1,0.2189,0.1751,21.75,475.95,16137.4,0.2637,0.2110,50.71,1337.29,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO600,DA193X,2018-02-16 00:00:00,,0.2819,1.33,0.211,0.88,,,,,0.68,1.33,0.26,0.82,0.88,0.69,,,
615007,2020-12-03 00:00:00,191019509,30,36,36,62,10,9312.4,0.192,0.134,29.27,562.16,6514.7,0.172,0.120,20.47,351.83,2797.6,0.2382,0.167,8.8,209.6,5,14794,0.191,0.134,46.49,890.31,6514.9,0.177,0.124,20.47,362.53,8279.1,0.200,0.140,26.02,521.25,,,,,,,,,,,,,,,,,,,,,,,GPSC,,TESTRANO 600,DA193X,2018-02-16 00:00:00,,0.167,0.21,0.14,1.82,,,,,0.21,0.19,0.13,1.18,1.82,0.39,,,
Suphon Test,2020-11-18 00:00:00,aaaaa,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,97.44,2,95.24,,,,,97.30,97.37,97.44,95.00,95.12,95.24,,,
97.2.4074,2020-11-11 00:00:00,,28,34,34,65,,38.75,,5.0,HV,LV,,0.1937,,31.83,616.47,6.92,LV,5.0,HV,,,81.82,,2.5,,,10133.3,0.1914,0.1397,31.84,609.40,49.98,,2.5,,,,,,,,,,,,,,,,,,,,,,,Chaichaleom Waihor,Pimchart Promkhandee,TIS,GPSC,Testrano 600/TD1,DA212X,2020-07-21 00:00:00,,5,Infinity,2.5,Infinity,,,,,Infinity,Infinity,,Infinity,Infinity,Infinity,,,
