Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
4912022,2021-03-04 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,13628,28036,166,41,9742,209,1966.8,123,4,9,1,69,13,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912023,2021-03-04 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,7106,27242,203,59,9112,213,2025.4,124,4,10,1,69,14,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56016,2021-02-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,10580,27845,518,55,665,57,1266.6,118,5,23,1,45,25,0.095,2.03,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2021-02-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,10367,18142,1396,131,3,0,0.0,11,0,1,0,60,24,0.051,2.46,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2021-02-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,9397,25755,1385,134,0,0,3.0,11,0,1,0,66,23,0.041,1.62,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2021-02-23 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,13044,34485,123,367,11772,662,772.1,298,12,34,2,61,3,0.019,0.55,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2021-02-23 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,8572,27706,159,377,17973,960,1045.8,345,20,42,3,55,4,0.012,0.78,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2021-02-23 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15587,35428,660,315,4929,616,2912.2,498,22,53,3,49,5,0.279,5.54,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2021-02-23 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,17834,46096,880,611,175,7,1.3,3,0,1,0,64,10,0.048,1.12,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57011,2021-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,2020-12-10 00:00:00,,Eakgarak S.,,"Insulation Engineering and Consultant Co.,Ltd.",,,,,29,45,45,55,11664,22138,219,32,39,2,4,0,0,0,0,41,22,0.1,0.1,NORMAL,11664,22138,219,32,39,2,4,0,0,0,0,41,22,0.1,0.1,NORMAL,11664,22138,219,32,39,2,4,0,0,0,0,41,22,0.1,0.1,NORMAL
54002,2020-12-10 00:00:00,-,Mr.Eakgarak S.,Mr.Pimchart P.,IEC,GPSC,-,-,2020-12-10 00:00:00,-,42,-,-,12577,23661,484,89,122,8,31,5,0,1,0,47,21,0.015,0.91,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
5011857,2020-12-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624007,2020-12-02 00:00:00,,Ketsara A.,Mr.Pimchart P.,"Insulation Engineering and Consultant Co., Ltd.",GPSC,,,,29,70,70,67,15990,28707,245,64,3037,141,885,71,2,6,2,55,16,0.005,0.209,NORMAL,15990,28707,245,64,3037,141,885,71,2,6,2,55,16,0.005,0.209,NORMAL,15990,28707,245,64,3037,141,885,71,2,6,2,55,16,0.005,0.209,NORMAL
56016,2020-12-01 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,11912,42178,567,18,4,8,146.0,62,13,0,0,41,22,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083122TIC003,2020-11-23 00:00:00,,Ketsara Appamatho,Mr. Methee M.,IEC,GPSC,-,-,,30,52,,60,10963,23524,457,128,14,2,0,0,0,0,0,38,22,0.004,0.032,NORMAL,14289,28661,424,108,17,2,0,0,0,0,0,49,18,0.004,0.032,NORMAL,15694,30353,411,92,16,2,0,0,0,0,0,38,17,0.004,0.032,NORMAL
20083122TIC008,2020-11-23 00:00:00,,Mr.Ekkarach W.,Mr.Jirasak S.,FOCUS LAB,GLOW,,,,,,,,15664,29533,388,92,0,2,0,0,0,0,0,60,16,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
5011858,2020-11-23 00:00:00,-,Mr.Eakgarak S.,Mr.Jirasak S.,IEC,GPSC,-,-,,-,60,-,-,16399,28588,1555,159,220,50,289,55,2,6,2,58,22,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
6012333,2020-11-23 00:00:00,-,Mr.Eakgarak S.,Mr.Jirasak S.,IEC,GPSC,-,-,,-,44,-,-,13730,26045,422,77,20,5,2,0,0,0,0,75,13,0.01,0.24,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/01,2020-11-23 00:00:00,-,Mr.Eakgarak S.,Mr.Methee M.,IEC,GPSC,-,-,2020-11-23 00:00:00,-,-,-,-,16196,47018,150,29,656,25,163,13,0,1,1,34,23,-,-,NORMAL,7082,38349,1074,253,4909,486,2796,289,16,34,5,42,-,-,-,NORMAL,24834,54800,638,114,48,23,433,115,5,67,15,37,-,-,-,NORMAL
Suphon Test,2020-11-18 00:00:00,aaaaa,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,T1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,T1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,T1
PTE 1689/03,2020-11-07 00:00:00,201023345,Mr. Kitti,,MR,,Onsite Test,After inspection OLTC,,30,30,30,55,,,,,,,,,,,,82.9,4.71,0,0,NORMAL,,,,,,,,,,,,81.5,4.45,0,0,NORMAL,,,,,,,,,,,,88,3.54,0,0,NORMAL
9640549,2020-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,100,,,,NORMAL,,,,,,,,,,,,100,,,,NORMAL,,,,,,,,,,,,100,,,,NORMAL
PTE 1689/02,2020-10-31 00:00:00,20122873,Mr. Kitti,,MR,,Onsite Test,Overhaul OLTC,,30,29,29,50,,,,,,,,,,,,95.2,4.74,0,0,NORMAL,,,,,,,,,,,,92.3,4.58,0,0,NORMAL,,,,,,,,,,,,93.3,4.51,0,0,NORMAL
508038,2020-10-10 00:00:00,201027833,Ketsara Appamatho,,IEC,,IEC - 0019,ASTM D 3612 Method C,,,50,,,,,,,,,,,,,,74,17,-,-,NORMAL,,,,,,,,,,,,74,17,-,-,NORMAL,,,,,,,,,,,,74,17,-,-,NORMAL
56016,2020-09-29 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,9817,33673,1506,167,432,58,1167.7,99,4,16,1,52,25,0.122,3.33,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2020-09-29 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,17226,47290,108,216,5532,440,566.5,216,9,23,2,56,9,0.026,0.61,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2020-09-29 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,18266,46578,374,308,8902,445,588.7,342,14,130,2,65,6,0.036,0.43,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2020-09-29 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,9126,18438,659,202,1576,347,2394.7,362,16,37,3,61,7,0.297,0.53,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2020-09-29 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,7888,20093,739,416,115,5,1.9,3,0,1,0,52,11,0.024,0.71,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2020-09-29 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,8136,15017,1435,142,5,2,0.0,11,0,1,0,74,19,0.068,2.70,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2020-09-29 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,9950,34878,1392,136,0,2,5.0,11,0,1,0,46,20,0.061,1.68,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,2020-06-23 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-06-23 00:00:00,,,,,14325,23800,1123,117,15,0,0,0,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
54001,2020-06-23 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-06-23 00:00:00,,,,,14325,23800,1123,117,15,0,0,0,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
54002,2020-06-23 00:00:00,,,,,,,,,,,,,14737,24220,1316,175,124,7,0,4,26,1,0,62,24,0.015,0.91,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4711343,2020-06-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,13217,42278,601,131,124,22,274,30,0,22,4,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
510049,2020-06-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-06-18 00:00:00,,,,,21357,42425,479,201,2204,229,1217,124,15,46,7,,,,,NORMAL,25830,615,24,38,14,170,109,0,25,5,385,,,,,NORMAL,14489,53750,40,18,32,16,180,24,0,28,5,,,,,NORMAL
PTE 1689/02,2020-06-14 00:00:00,-,Mr.Puriwat K.,"Mr,Jirasak S.",IEC,GPSC,,-,,,,,,10417,20267,123,21,3256,200,1536,140,6,12,1,68,32,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
20083122TIC003,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,9317,41306,496,162,22,2,0,0,0,0,0,,,,,,24714,55624,427,156,16,2,0,0,0,0,0,,,,,,21617,43162,490,164,10,2,0,0,0,0,0,,,,,
20083122TIC003,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,9317,41306,496,162,22,2,0,0,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
20083122TIC003,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,9317,41306,496,162,22,2,0,0,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
20083122TIC003,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,9317,41306,496,162,22,2,0,0,0,0,0,,,,,NORMAL,24714,55624,427,156,16,2,0,0,0,0,0,,,,,NORMAL,21617,43162,490,164,10,2,0,0,0,0,0,,,,,NORMAL
4612314,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,32731,87982,694,126,12,20,412,48,2,10,3,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
4612314,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,32731,87982,694,126,12,20,412,48,2,10,3,,,,,NORMAL,32731,87982,694,126,12,20,412,48,2,10,3,,,,,NORMAL,32731,87982,694,126,12,20,412,48,2,10,3,,,,,NORMAL
4711343,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,13217,42278,601,131,124,22,274,30,0,22,4,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
5011858,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,12459,21695,1317,161,374,44,243,35,1,4,1,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
5011858,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,12459,21695,1317,161,374,44,243,35,1,4,1,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
510049,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,21357,42425,479,201,2204,229,1217,124,15,46,7,,,,,NORMAL,25830,56449,615,24,38,14,170,109,0,25,5,,,,,NORMAL,14489,53750,420,18,32,16,180,24,0,28,5,,,,,NORMAL
510049,2020-05-18 00:00:00,201017125,Mr.Eakgarak Sarakaum,Mr.Jirasak Suksakun,IEC,NHT/NRV,-,6M 2020,,-,51,-,-,21357,42425,479,201,2204,229,1217,124,15,46,7,40,18,0.003,0.173,NORMAL,25830,56449,615,24,38,14,170,109,0,25,5,46,22,0.003,0.17,NORMAL,14489,53750,420,18,32,16,180,24,0,28,5,45,20,0.003,0.163,NORMAL
512033,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,16411,17654,514,118,0,2,40,0,0,0,0,,,,,NORMAL,16411,17654,514,118,0,2,40,0,0,0,0,,,,,NORMAL,16411,17654,514,118,0,2,40,0,0,0,0,,,,,NORMAL
512033,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,16411,17654,514,118,0,2,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6012333,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,13316,44278,487,156,22,10,2,0,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
9624007,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,8175,34683,310,118,1418,50,262,24,0,14,2,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
9624007,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,8175,34683,310,118,1418,50,262,24,0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9724074,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,12073,21846,1531,148,927,109,827,84,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9724075,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,11881,20528,1609,185,137,74,979,136,6,16,1,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
9724075,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,11881,20528,1609,185,137,74,979,136,6,16,1,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
9724076,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,10044,19095,1090,155,181,19,25,2,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
9724076,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,10044,19095,1090,155,181,19,25,2,0,0,0,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
EDP008001,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,8729,40912,185,252,867,96,72,82,6,15,2,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
EDP008001,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,8729,40912,185,252,867,96,72,82,6,15,2,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL,,,,,,,,,,,,,,,,NORMAL
EDP011601,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,29608,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL,29608,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL,29608,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL
EDP011601,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,29308,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL,29308,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL,29308,86594,310,171,60,54,113,46,0,2,0,,,,,NORMAL
PTE 1689/01,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,6686,37834,530,354,8493,671,4036,413,16,184,5,,,,,NORMAL,7082,38349,1074,253,4909,486,2798,289,16,34,5,,,,,NORMAL,24834,54800,638,114,48,23,433,115,5,67,15,,,,,NORMAL
PTE 1689/01,2020-05-18 00:00:00,201017125,Mr.Eakgarak Sarakaum,Mr.Jirasak Suksakun,IEC,NHT/NRV,-,6M 2020,,-,51,-,-,6686,37834,530,354,8493,671,4036,413,16,184,5,36,29,0.003,0.301,NORMAL,7082,38349,1074,253,4909,486,2798,289,16,34,5,46,32,0.002,0.267,NORMAL,24834,54800,638,114,48,23,433,115,5,67,15,36,39,0.012,0.616,NORMAL
PTE 1689/01,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,6686,37834,530,354,8493,671,4036,413,16,184,5,,,,,NORMAL,7082,38349,1074,253,4909,486,2798,289,16,34,6,,,,,NORMAL,24834,57800,638,114,48,23,433,115,5,67,15,,,,,NORMAL
PTE 1689/03,2020-05-18 00:00:00,,Andaman Kajornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,7529,42729,1893,608,8947,852,5435,468,20,243,7,,,,,NORMAL,7555,39818,1906,362,6719,665,4135,433,18,219,7,,,,,NORMAL,15713,45622,671,112,72,38,423,65,4,101,3,,,,,NORMAL
PTE 1689/03,2020-05-18 00:00:00,,Andaman Kaiornvakin,Jirasak Suksakun,IEC,GPSC,-,-,2020-05-18 00:00:00,,,,,7529,42729,1893,608,8947,852,5435,468,20,243,7,,,,,NORMAL,7555,39818,1906,362,6719,665,4135,433,18,219,7,,,,,NORMAL,15713,45622,671,112,72,38,423,65,4,101,3,,,,,NORMAL
20083122TIC008,2020-05-17 00:00:00,,Ms.Klednatee P.,Mr.Jirasak S.,IEC,GPSC,,,,,,,,8166,25298,396,137,0,0,0,0,0,0,0,74,17,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
TP70279703,2020-05-13 00:00:00,-,Mr.Eakgarak S.,Mr.Jirasak S.,IEC,GPSC,-,-,,-,40,-,-,8046,22216,85,29,15243,7576,521,2410,0,127,85,61,5,0.032,0.550,NORMAL,7168,19762,74,8,15103,9968,23,2141,0,118,87,60,3,0.031,0.310,NORMAL,9715,29104,79,7,5727,14378,32,2994,0,182,99,61,2,0.031,0.530,NORMAL
T012006,2020-04-30 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,13238,26548,261,58,5675,412,1875.0,319,12,29,1,45,20,0.016,0.29,NORMAL,12150,27278,314,88,9188,681,3000.0,461,17,37,1,46,23,0.017,0.17,NORMAL,12735,25556,329,110,14155,975,4170.0,606,24,44,1,51,22,0.014,0.27,NORMAL
T012023,2020-04-30 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,17149,29694,253,76,8839,510,1921.0,531,97,26,17,54,24,0.047,0.98,NORMAL,12090,23993,253,83,11572,727,2583.0,741,108,32,17,68,21,0.062,0.92,NORMAL,12810,28726,229,74,15133,932,3290.0,913,101,37,9,45,23,0.027,0.53,NORMAL
56016,2020-02-14 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,31130,75233,1401,157,767,142,2102.0,886,23,106,2,23,33,0.108,1.98,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2020-02-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,19661,46426,80,187,8538,326,388.0,156,4,15,6,64,3,0.019,0.41,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2020-02-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,14371,47262,392,334,9306,895,630.0,428,16,122,9,60,5,0.021,0.59,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2020-02-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15155,57087,1063,379,1870,494,4160.0,614,89,126,12,53,6,0.180,4.21,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2020-02-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,8814,45974,1315,322,72,4,0.0,10,0,1,0,58,12,0.042,0.94,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2020-02-14 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,21481,44194,972,146,10,4,0.0,107,4,6,1,49,23,0.033,1.96,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2020-02-14 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,20472,60602,927,136,0,2,0.0,108,4,3,1,68,21,0.035,1.26,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508038,2019-12-11 00:00:00,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81912051,"12M_81,82,83",,32,-,-,55.9,27668,56463,953,43,32,10,152,20,1,14,18,40.5,19.00,0.005,0.209,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
54002,2019-12-11 00:00:00,,,,,,,,,,,,,16746,42025,875,90,136,10,72,13,0,19,9,37,29,0.015,0.91,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
20083122TIC003,2019-11-29 00:00:00,191050218,Mr. Pongkate T,,Tan & Son Coperation,GLOW,On site Test,After Overhaul OLTC,,32,50,32,51,,,,,,,,,,,,67.9,4.50,-,-,NORMAL,,,,,,,,,,,,72.3,4.50,-,-,NORMAL,,,,,,,,,,,,78.6,4.50,-,-,NORMAL
20083122TIC008,2019-10-15 00:00:00,191050217,Mr. Kitti J.,,MR,GLOW,On site Test,After Overhaul OLTC,,32,50,32,51,22348,64339,1779,238,17,4,0,13,1,1,1,48.8,21,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
510049,2019-10-09 00:00:00,,Mr.Ekkarach W.,Mr.Jirasak S.,FOCUS LAB,GLOW,-,"12M_81,82,83",,,,,,21909,60313,353,26,258,12,113,12,0,3,2,51,22.4,0.003,0.173,NORMAL,19092,54683,318,25,279,10,108,11,0,1,1,47,28.6,0.003,0.17,NORMAL,18729,56669,301,24,320,13,129,13,0,0,1,42,24.6,0.003,0.163,NORMAL
PTE 1689/04,2019-10-09 00:00:00,-,,,,,-,-,2019-10-09 00:00:00,,,,,10385,,,,,,,,,,,,,,,,10385,,,,,,,,,,,,,,,,10385,,,,,,,,,,,,,,,
PTE 1689/04,2019-10-09 00:00:00,-,Mr.Ekkarach W.,Mr.Jirasak S.,FOCUS LAB,NHT/NRV,-,-,2019-10-09 00:00:00,,,,,10385,37567,626,74,760,46,390,50,1,1,9,47.4,35.2,0.003,0.134,NORMAL,14008,46927,569,76,870,60,419,53,1,17,18,48,32,0.003,0.121,NORMAL,7972,31608,588,68,717,44,392,48,1,10,12,38,36.1,0.003,0.134,NORMAL
510049,2019-08-30 00:00:00,191036006,Jirasak S.,,GLOW-CMT,,-,-,,29,90,-,71,-,-,-,-,-,-,-,-,-,-,-,90,10,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,90,10,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,90,10,-,-,NORMAL
T012006,2019-08-29 00:00:00,,Ekkarach W.,,FOCUS LAB,,-,-,,30.5,-,-,66.7,14742,46017,884,133,10047,1062,4954,1003,105,8,135,57,21.9,0.009,0.256,NORMAL,10843,38532,628,130,11657,1132,4909,1005,100,7,129,67.1,27.3,0.011,0.231,NORMAL,11460,50969,692,148,14741,1550,6825,1374,146,10,167,42,28.5,0.01,0.26,NORMAL
