Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
9724074,2025-09-24 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,45,,,46111,130365,2056,243,165,37,549,170,10,86,4,80.8,13.8,0.0,0.431,NORMAL,46111,130365,2056,243,165,37,549,170,10,86,4,80.8,13.8,0.0,0.431,NORMAL,46111,130365,2056,243,165,37,549,170,10,86,4,80.8,13.8,0.0,0.431,NORMAL
9724075,2025-09-23 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,90,,,49778,143400,2062,149,29,15,97,85,4,40,1,83.9,23.1,0.004,0.598,NORMAL,49778,143400,2062,149,29,15,97,85,4,40,1,83.9,23.1,0.004,0.598,NORMAL,49778,143400,2062,149,29,15,97,85,4,40,1,83.9,23.1,0.004,0.598,NORMAL
9724076,2025-09-23 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,42,,,60390,195090,1287,122,44,11,106,27,1,2,0,72.8,18.0,0.003,0.0384,NORMAL,60390,195090,1287,122,44,11,106,27,1,2,0,72.8,18.0,0.003,0.0384,NORMAL,60390,195090,1287,122,44,11,106,27,1,2,0,72.8,18.0,0.003,0.0384,NORMAL
4612314,2025-09-22 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,40,,,39351,108028,991,46,22,10,216,39,2,14,1,68.3,21.9,0.041,2.5,NORMAL,39351,108028,991,46,22,10,216,39,2,14,1,68.3,21.9,0.041,2.5,NORMAL,39351,108028,991,46,22,10,216,39,2,14,1,68.3,21.9,0.041,2.5,NORMAL
4711343,2025-09-22 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,44,,,43225,123295,612,11,11,3,46,5,0,1,0,54.7,17.7,0.004,0.209,NORMAL,43225,123295,612,11,11,3,46,5,0,1,0,54.7,17.7,0.004,0.209,NORMAL,43225,123295,612,11,11,3,46,5,0,1,0,54.7,17.7,0.004,0.209,NORMAL
5011858,2025-09-22 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,60,,,30821,79041,1299,47,57,18,266,42,1,10,0,84.3,21.3,0.002,0.360,NORMAL,30821,79041,1299,47,57,18,266,42,1,10,0,84.3,21.3,0.002,0.360,NORMAL,30821,79041,1299,47,57,18,266,42,1,10,0,84.3,21.3,0.002,0.360,NORMAL
6012333,2025-09-19 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,35,,,26754,69586,929,80,108,0,58,0,0,2,2,85.7,7.5,0.005,0.136,NORMAL,26754,69586,929,80,108,0,58,0,0,2,2,85.7,7.5,0.005,0.136,NORMAL,26754,69586,929,80,108,0,58,0,0,2,2,85.7,7.5,0.005,0.136,NORMAL
9624007,2025-09-19 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,50,,,19397,47441,615,54,850,59,780,86,2,16,0,91.7,13.2,0.041,2.539,NORMAL,19397,47441,615,54,850,59,780,86,2,16,0,91.7,13.2,0.041,2.539,NORMAL,19397,47441,615,54,850,59,780,86,2,16,0,91.7,13.2,0.041,2.539,NORMAL
512033,2025-09-18 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,46,,,31882,75001,589,9,0,1,0,1,0,0,0,61.9,14.2,0.002,0.249,NORMAL,31882,75001,589,9,0,1,0,1,0,0,0,61.9,14.2,0.002,0.249,NORMAL,31882,75001,589,9,0,1,0,1,0,0,0,61.9,14.2,0.002,0.249,NORMAL
EDP008001,2025-09-18 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,54,,,17252,104651,110,15,1856,186,3,5,6,0,2,92.6,4.5,0.00,0.030,NORMAL,17252,104651,110,15,1856,186,3,5,6,0,2,92.6,4.5,0.00,0.030,NORMAL,17252,104651,110,15,1856,186,3,5,6,0,2,92.6,4.5,0.00,0.030,NORMAL
