serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,surge_arrester_test_voltage,h1_cap,h1_watt_loss,h1_pf_tan,h1_current,h1_pf_20c,h1_ust_cap,h1_ust_watt_loss,h1_ust_pf_tan,h1_ust_current,h1_ust_pf_20c,h1_mohm,h2_cap,h2_watt_loss,h2_pf_tan,h2_current,h2_pf_20c,h2_ust_cap,h2_ust_watt_loss,h2_ust_pf_tan,h2_ust_current,h2_ust_pf_20c,h2_mohm,h3_cap,h3_watt_loss,h3_pf_tan,h3_current,h3_pf_20c,h3_ust_cap,h3_ust_watt_loss,h3_ust_pf_tan,h3_ust_current,h3_ust_pf_20c,h3_mohm,xsurge_arrester_test_voltage,xh1_current,xh2_current,xh3_current,xh1_watt_loss,xh2_watt_loss,xh3_watt_loss,xh1_pf_tan,xh2_pf_tan,xh3_pf_tan,xh1_pf_20c,xh2_pf_20c,xh3_pf_20c,xh1_cap,xh2_cap,xh3_cap,xh1_mohm,xh2_mohm,xh3_mohm,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxma1,maxma2,maxma3,maxw1,maxw2,maxw3,minr,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,H3_Error_mW
ET8713/1,2023-11-01 00:00:00,,,,,,10,-,76.9,-,0.2,-,-,-,-,-,-,-,-,79.5,-,0.2,-,-,-,-,-,-,-,-,78.04,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,TESTRANO 600,,,,0,0,0,0.04,0.04,0.05,-,0.00,0.04,0.00,0.04,0.00,0.05,-,-,-,-,-,-,-,-,-,-,-,-
PP0084B01,2023-11-01 00:00:00,,30,30,30,70,5,-,109.2,-,0.16,-,-,-,-,-,-,-,-,105.44,-,0.15,-,-,-,-,-,-,-,-,109.25,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
ET8712/1,2023-10-31 00:00:00,,,,,,10,-,71.74,-,0.2,-,-,-,-,-,-,-,-,75.1,-,0.2,-,-,-,-,-,-,-,-,75.44,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,TESTRANO 600,,,,0,0,0,1.04,0.13,0.59,-,0.00,1.04,0.00,0.13,0.00,0.59,-,-,-,-,-,-,-,-,-,-,-,-
4912021,2023-10-25 00:00:00,,33,34,34,58,10,-,30.41,-,0.13,-,-,-,-,-,-,,-,30.25,-,0.13,-,-,-,-,-,-,,-,30.73,-,0.14,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
4912023,2023-10-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4811735,2023-10-07 00:00:00,,31,32,32,70,10,-,346.6,-,0.17,-,-,-,-,-,-,,-,343.4,-,0.16,-,-,-,-,-,-,,-,386.57,-,0.16,-,,-,-,-,-,-,,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27,,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
5000577,2023-10-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912022,2023-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000576,2023-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000575,2023-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
