serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,surge_arrester_test_voltage,h1_cap,h1_watt_loss,h1_pf_tan,h1_current,h1_pf_20c,h1_ust_cap,h1_ust_watt_loss,h1_ust_pf_tan,h1_ust_current,h1_ust_pf_20c,h1_mohm,h2_cap,h2_watt_loss,h2_pf_tan,h2_current,h2_pf_20c,h2_ust_cap,h2_ust_watt_loss,h2_ust_pf_tan,h2_ust_current,h2_ust_pf_20c,h2_mohm,h3_cap,h3_watt_loss,h3_pf_tan,h3_current,h3_pf_20c,h3_ust_cap,h3_ust_watt_loss,h3_ust_pf_tan,h3_ust_current,h3_ust_pf_20c,h3_mohm,xsurge_arrester_test_voltage,xh1_current,xh2_current,xh3_current,xh1_watt_loss,xh2_watt_loss,xh3_watt_loss,xh1_pf_tan,xh2_pf_tan,xh3_pf_tan,xh1_pf_20c,xh2_pf_20c,xh3_pf_20c,xh1_cap,xh2_cap,xh3_cap,xh1_mohm,xh2_mohm,xh3_mohm,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxma1,maxma2,maxma3,maxw1,maxw2,maxw3,minr,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,H3_Error_mW
4710349,2017-10-10 00:00:00,,32,32,32,68,10,,0.0890,0.089,0.1310,0.089,,0.050,0.05,0.1020,0.05,15330,,0.0980,0.098,0.1310,0.098,,0.050,0.05,0.1000,0.05,12270,,0.0920,0.092,0.1310,0.092,11370,0.470,0.47,0.0980,0.47,,,,,,,,,,,,,,,,,,,,,Mr. Chaichaleom Waihor,Mr. Pimchart Promkhandee,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble / M4100,101431857,2017-03-02,32,0,0,0,0,0,0,12270,,,,,,,,,,,,,,,,,,
4710349,2017-10-10 00:00:00,,32,32,32,68,10,,0.0890,0.089,0.1310,0.089,,0.050,0.05,0.1020,0.05,15330,,0.0980,0.098,0.1310,0.098,,0.050,0.05,0.1000,0.05,12270,,0.0920,0.092,0.1310,0.092,11370,0.470,0.47,0.0980,0.47,,,,,,,,,,,,,,,,,,,,,Mr. Chaichaleom Waihor,Mr. Pimchart Promkhandee,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble / M4100,101431857,2017-03-02,32,0,0,0,0,0,0,12270,,,,,,,,,,,,,,,,,,
4710347,2017-09-04 00:00:00,,36,38,38,57,10,53.6,0.0950,5.6890,0.1670,5.6890,18.73,0.047,8.103,0.058,8.103,181.8,54.17,0.1100,6.509,0.1690,6.509,18.60,0.048,8.276,0.058,8.276,175.7,53.84,0.1040,6.19,0.1680,6.19,256,0.044,7.586,0.058,7.586,18.59,,,,,,,,,,,,,,,,,,,,Mr. Chaichaleom Waihor,Mr. Pimchart Promkhandee,,,Doble / M4100,101431857,,,0,0,0,0,0,0,175.7,,,,,,,,,,,,,,,,,,
510049,2017-07-18 00:00:00,,30,31,33,51,10,48.5,0.035,2.45,0.15,2.45,-,-,-,-,-,,49.3,0.036,2.353,0.153,2.353,-,-,-,-,-,,51.2,0.035,2.201,0.159,2.201,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Anusit Sara,Mr.Suchat Mondopyai,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2017-03-02,,0,0,0,0,0,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
56018,2017-02-13 00:00:00,,33,38,38,27,10,146.84,0.2450,5.3610,0.4570,5.361,49.88,0.0960,6.1940,0.1550,6.194,257000,147.74,0.2530,5.50,0.460,5.5,50.58,0.0930,5.8860,0.1580,5.886,288000,148.0,0.2460,5.3360,0.4610,5.336,277000,0.10,6.3290,0.1580,6.329,50.83,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,MR.Jarin Suwan,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2015-02-02,38,1.56,2.22,2.44,0,3.27,0.41,257000,,,,,,,,,,,,,,,,,,
4710350,2016-12-24 00:00:00,,33,33,33,51,10,73.34,0.158,6.930,0.229,6.930,18.88,0.049,8.345,0.059,8.345,158600,72.39,0.155,6.883,0.226,6.883,18.93,0.046,7.817,0.059,7.817,178300,72.20,0.154,6.856,0.225,6.856,165300,0.045,7.562,0.059,7.562,18.98,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,Mr.Chanin Sornbunthonh,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2015-03-02,,4.09,2.73,2.27,1.94,3.33,2.67,158600,,,,,,,,,,,,,,,,,,
508038,2016-12-15 00:00:00,,34,42,40,41,10,39.63,0.062,5.042,0.123,5.042,,,,,,189700,40.83,0.064,5.072,0.127,5.072,,,,,,178300,39.9,0.063,5.052,0.124,5.052,166400,,,,,,10,0.123,0.127,0.124,0.062,0.064,0.063,5.042,5.072,5.052,,,,39.63,40.83,39.90,189700,176100,166400,Anusit  Sara,Mr.Chanin Sornbunthonh,"TIS Engineering and Service Co.,Ltd.",ENGIE GLOW,Doble / M4100,101431857,2015-03-02,42,2.5,5.83,3.33,0,3.23,1.61,0,,,,,,,,,,,,,,,,,,
508038,2016-12-15 00:00:00,,34,42,40,41,10,39.63,0.062,5.042,0.123,5.042,,,,,,189700,40.83,0.064,5.072,0.127,5.072,,,,,,178300,39.9,0.063,5.052,0.124,5.052,166400,,,,,,10,0.123,0.127,0.124,0.062,0.064,0.063,5.042,5.072,5.052,,,,39.63,40.83,39.90,189700,176100,166400,Anusit  Sara,Mr.Chanin Sornbunthonh,"TIS Engineering and Service Co.,Ltd.",ENGIE GLOW,Doble / M4100,101431857,2015-03-02,42,2.5,5.83,3.33,0,3.23,1.61,0,,,,,,,,,,,,,,,,,,
4710345,2016-12-08 00:00:00,,30,37,37,64,10,72.05,0.1490,6.650,0.2250,6.65,18.38,0.0500,8.717,0.0570,,210000,71.84,0.1520,6.793,0.2240,6.793,18.74,0.0510,8.727,0.0580,,226000,71.45,0.1400,6.272,0.230,6.272,293000,0.044,7.506,0.044,,18.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Anusit Sara,Mr.Chanin Sornbunthonh,"TIS Engineering & Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2015-03-02,,0,0,0,0,0,0,210000,,,,,,,-,-,-,-,-,-,,,,,,
54002,2016-11-22 00:00:00,,37,32,32,57,10,39.49,0.0630,5.1,0.1230,5.1,,,,,,117000,41.68,0.0640,4.916,0.1300,4.916,,,,,,123100,39.76,0.0610,4.965,0.1240,4.965,131100,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,Mr.Chanin   Sornbunthong,TIS,ENGIE GLOW,Doble / M4100,101431857,2015-03-02,32,2.5,8.33,3.33,1.61,3.23,1.61,,,,,,,,,,,,,,,,,,,
54002,2016-11-22 00:00:00,,37,32,32,57,10,39.49,0.0630,5.1,0.1230,5.1,,,,,,117000,41.68,0.0640,4.916,0.1300,4.916,,,,,,123100,39.76,0.0610,4.965,0.1240,4.965,131100,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,Mr.Chanin   Sornbunthong,TIS,ENGIE GLOW,Doble / M4100,101431857,2015-03-02,32,2.5,8.33,3.33,1.61,3.23,1.61,,,,,,,,,,,,,,,,,,,
PTE 1689/01,2016-06-04 00:00:00,,,,,,10,,2.098,,0.161,,,,,,,,,1.566,,0.132,,,,,,,,,0.981,,0.111,,,,,,,,10,0.122,0.132,0.111,0.241,1.566,0.981,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
54001,2016-05-09 00:00:00,,33,,,46,10,39.720,0.057,4.5980,0.124,,,,,,,,39.93,0.0550,4.454,0.1240,,,,,,,,40.06,0.054,4.334,0.1250,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Anusit Sara,Mr.Suchat Mondopyai,"TIS Engineering and Service Co.,Ltd.",ENGIE GLOW,Doble/M4100,101431857,2015-03-16,,3.33,3.33,4.17,14,10,8,,,,,,,,,,,,,,,,,,,
4710343,2015-10-27 00:00:00,-,33,,,50,10,35.74,30,2.727,0.11,-,-,-,-,-,-,186000,35.58,29,2.603,0.11,-,-,-,-,-,-,236000,36.31,29,2.587,0.11,-,286000,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,Kittichai S.,TIS,GLOW,Doble/M4100,101431851,,,-,-,-,-,-,-,186000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4710344,2015-07-02 00:00:00,-,34,-,-,52,10,39.3,36,2.926,0.123,-,-,-,-,-,-,234,37.62,36,3.076,0.117,-,-,-,-,-,-,278,37.44,34,2.931,0.116,-,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thanongsak P.,Rapee W.,TIS,GLOW,Doble/M4100,-,2015-02-03,,0,0,0,0,0,0,198,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/01,2014-08-31 00:00:00,,,,,,10,119.64,2.098,49.13,0.427,,46.50,0.701,43.64,0.161,,,108.95,1.566,41.98,0.373,,38.99,0.525,39.83,0.132,,,99.2,0.981,30.31,0.324,,,0.378,34.12,0.111,,33.53,10,0.122,0.143,0.109,0.241,0.268,0.202,19.781,18.73,18.532,,,,38.40,45.27,34.93,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
PP0286B01,2013-04-29 00:00:00,,34,,,45,,41.7,0.0208,1.612,0.129,,,,,,,11900,42,0.021,1.628,0.129,,,,,,,12400,42,0.017,1.328,0.128,,12700,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Phanupong Inchina,Mr. Witoon Khommuangpuk,"TIS Engineering and Service Co., Ltd",GLOW,Dodle / M2H - D,,,,0,0,0,0,0,0,11900,,,,,,,,,,,,,,,,,,
512033,2012-12-26 00:00:00,,37,,40,38,10,27.26,0.059,6.898,0.086,6.898,,,,,,,27.88,0.061,7.001,0.088,7.001,,,,,,,27.52,0.061,7.118,0.087,7.118,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Chairat P.,Mr.Witoon Khommuangpuk,ABB,,Megger/DELTA 4000,060206/2117,,,99.68,99.68,99.68,31.4,30.68,29.89,0,,,,,,,,,,,,,,,,,,
4710348,,,,,,,10,73.01,0.164,7.193,0.228,,18.68,0.066,11.379,0.058,,109200,73.18,0.162,7.105,0.228,,18.53,0.06,10.345,0.058,,127200,72.84,0.163,7.181,0.227,,141500,0.063,10.862,0.058,,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,109200,,,,,,,,,,,,,,,,,,
