Equipment Name,Device Code,SITE,Service_Type,DATE,YEAR,Working Type,Equipment part,Detail,Picture,Root cause,Action,Finish Dated,Duration (Day),Status
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2019-06-10 00:00:00,2019,PM,-,3Y PM Program.,,,,,,
KT7A.30.EN,31-90-CPPB-XF-KT7A,SITE3,Distribution Transformer,2019-06-08 00:00:00,2019,PM,-,6Y PM Program.,,,,,,
14100-TR-001 (GTG11),14100-TR-001,CUP-1,GSUT,2019-05-19 00:00:00,2019,PM,-,3Y PM Program,,,,,,
14100-TR-006 (GTG14),14100-TR-006,CUP-1,GSUT,2019-01-22 00:00:00,2019,PM,-,3Y PM Program,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2018-11-01 00:00:00,2018,PM,-,3Y PM Program. As found wiring for OLTC control panel are deteriorated.,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2018-10-22 00:00:00,2018,PM,-,3Y PM Program.,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2018-10-22 00:00:00,2018,CM,Tap Changer Oil,Change new OLTC oil,,,,,,
KT12A.30.EN,31-90-CPPA-XF-KT12A,SITE3,Distribution Transformer,2018-06-19 00:00:00,2018,PM,-,3Y PM Program.,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2017-12-21 00:00:00,2017,CM,Tap Changer Oil,OLTC hot oil purify and Insulation resistance test prior to energized,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2017-12-21 00:00:00,2017,CM,Leakage,Repair oil leak OLTC valve,,,,,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2017-12-21 00:00:00,2017,Improved,Main Tank Oil,Transformer oil regeneration,,,,,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2017-12-21 00:00:00,2017,PM,-,3Y PM Program,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2017-12-11 00:00:00,2017,PM,-,6Y PM Program.,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2017-12-11 00:00:00,2017,CM,Tap Changer Oil,Replacement new OLTC oil,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2017-12-11 00:00:00,2017,PM,-,3Y PM Program,,- Oil property bad condition effect to insulation paper.,"- Oil Regeneration.
- 3Y PM Program.",,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2017-12-11 00:00:00,2017,Improved,Main Tank Oil,Transformer oil regeneration,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2017-07-02 00:00:00,2017,PM,-,3Y PM Program,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2017-07-02 00:00:00,2017,CM,Self-Protection,"Reset ""Rubber bag rupture alarm"", After reset alarm still operated.",,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2017-07-02 00:00:00,2017,CM,Tap Changer Oil,"Repalcement new OLTC oil, A: BD=67.5 kV, B: BD=66.6 kV, C: BD=69.7 kV.",,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,PM,-,3Y PM Program.,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,CM,Tap Changer Oil,Change new OLTC oil,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,CM,Leakage,Change new gaskets for OLTC all oil pipe,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,PM,Leakage,"3Y PM Program, PF normal",,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,CM,Tap Changer Oil,Change new OLTC oil,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2017-06-01 00:00:00,2017,CM,Leakage,Change new gaskets for OLTC all oil pipe,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2016-11-22 00:00:00,2016,OL,-,6Y PM Program.,,,,,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2016-11-22 00:00:00,2016,PM,-,3Y PM Program.,,,,,,
Spare Transformer from ETR1,-,SITE2,Auxiliary Transformer,2016-11-22 00:00:00,2016,CM,,"Repair oil leak out (Replacement new all gaskets), Hot oil purify.",,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2016-11-15 00:00:00,2016,PM,-,3Y PM Program.,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2016-11-15 00:00:00,2016,CM,Tap Changer Oil,OLTC hot oil purify,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2016-11-15 00:00:00,2016,PM,-,3Y PM Program.,,-,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2016-07-25 00:00:00,2016,PM,-,"Insulation Power Factor test (CHT, CH %PF ≥0.5%), Excite current test.",,,,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2016-07-04 00:00:00,2016,PM,-,3Y PM Program.,,,,,,
KT7A.30.EN,31-90-CPPB-XF-KT7A,SITE3,Distribution Transformer,2016-05-13 00:00:00,2016,PM,-,3Y PM Program.,,,,,,
KT12A.30.EN,31-90-CPPA-XF-KT12A,SITE3,Distribution Transformer,2015-04-16 00:00:00,2015,PM,-,6Y PM Program.,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2015-04-01 00:00:00,2015,PM,-,3Y PM Program.,,,,,,
14100-TR-006 (GTG14),14100-TR-006,CUP-1,GSUT,2015-01-01 00:00:00,2015,PM,-,3Y PM Program,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2014-12-14 00:00:00,2014,PM,-,Bushing power factor test.,,,,,,
KT7A.30.EN,31-90-CPPB-XF-KT7A,SITE3,Distribution Transformer,2014-09-01 00:00:00,2014,PM,-,3Y PM Program.,,,,,,
KT7A.30.EN,31-90-CPPB-XF-KT7A,SITE3,Distribution Transformer,2014-09-01 00:00:00,2014,CM,Leakage,"Replace new gaskets LV bushing, Manhole, BCT, balance pipe",,,,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2014-08-24 00:00:00,2014,PM,-,3Y PM Program,,,,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2014-08-24 00:00:00,2014,CM,Bushing,Replacement new HV Bushing to RIP Phase A,,,,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2014-08-24 00:00:00,2014,CM,Leakage,"Replacement new gasket LV bushing. Replace new gasket Manhole, CT terminal, Oil pipe. Gasket for pressure relief. Gasket TV and N bushing.",,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2013-10-26 00:00:00,2013,BD,Bushing,"230kV bushing Ph.B Porcelain was explosion, Replacement all new bushing",,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2012-08-18 00:00:00,2012,PM,-,3Y PM Program.,,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2012-08-18 00:00:00,2012,CM,Self-Protection,"Reset ""Rubber Bag Rupture Alarm"", Repair oil leak TV bushing, 3Y PM Program.",,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2012-08-11 00:00:00,2012,PM,-,3Y PM Program.,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2012-07-11 00:00:00,2012,PM,-,3Y PM Program.,,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2012-06-14 00:00:00,2012,PM,-,3Y PM Program.,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2012-06-14 00:00:00,2012,PM,-,3Y PM Program.,,,,,,
Spare Transformer from ETR2,-,SITE2,Auxiliary Transformer,2012-06-11 00:00:00,2012,PM,-,3Y PM Program.,,-,,,,
14100-TR-006 (GTG14),14100-TR-006,CUP-1,GSUT,2012-01-01 00:00:00,2012,PM,-,3Y PM Program,,,,,,
14100-TR-006 (GTG14),14100-TR-006,CUP-1,GSUT,2009-05-07 00:00:00,2009,FAT,-,Factory Acceptance test,,,,,,
10060-TR-001 (GTG15),10060-TR-001,CUP-1,GSUT,2008-01-01 00:00:00,2008,FAT,-,Factory Acceptance test,,,,,,
,-,-,-,,1900,,,,,,,,,
,-,-,-,,1900,,,,,,,,,
,-,-,-,,1900,,,,,,,,,
