parentSerialNo,kksNo,equipmentName,plantSite,location,vectorGroup,serviceType,oltcManufacturer,oltcModelYear,oltcModelType,oltcSerialNo,motorDrive,counterOperated,tapNo,transitionResistorOhm,maintenanceTime,contactLife,stepVoltageV,currentA,lastInspection,nextDue,description,remark
5513053,35-61-61BMT03,GH1  Back Up,GHECO-ONE,GHECO-ONE,Dyn1,Back up Transformer,MR,2012,VIII350D,1342553,ED100S,,9,1.58,,,275,159,2019,2025,"MR. Type: V III 350D-40-10090, SN: 1342553",
54002/608107,22-90-00ATC10,TR1,SITE2,GEN,YNd1,Distribution Transformer,ABB,1994,UZERN 550/300,8144282,BUF3,,19,,"After 100,000 or every 7 year",500000,,300,2023,2029,"ABB Type: UZERN 550/300, SN:8144282, Mortor type:BUF3",
508038,22-90-00ATC20,TR2,SITE2,GEN,YNd1,Distribution Transformer,ABB,2008,UZFRN 250/300,1ZSC 8680 872,BUF3,,19,3.6,"After 100,000 or every 7 year",500000,1088,300,2023,2029,"ABB Type: UZFRN 250/300,SN:1ZSC8680872, Mortor type:BUF3",
54001,22-90-00ATC30,TR3,SITE2,GEN,YNd1,Distribution Transformer,ABB,1994,UZERN 550/300,8144283,BUF3,,19,,,,,,2026,2032,"ABB Type: UZERN 550/300, SN:8144283, Mortor type:BUF3",
6310537,41BAT10,GSUT GT41,SITE2,GEN,YNd11,GSUT,ABB,2021,UZEDN 250/600,1ZSC8738643,BUF3,,23,2.4,"After 70,000 or every 7 year",370000,866,363,2022,2028,ABB Type: BZEDN 250/600m SN: 1ZSC 8738643 Motor:BUF3,
6310535,42BAT10,GSUT GT42,SITE2,GEN,YNd11,GSUT,ABB,2021,UZEDN 250/600,1ZSC8738681,BUF3,,23,2.4,"After 70,000 or every 7 year",370000,866,363,2022,2028,ABB Type: BZEDN 250/600m SN: 1ZSC  Motor:BUF3,
6310534,61BAT10,GSUT GT61,SITE2,GEN,YNd11,GSUT,ABB,2021,UZEDN 250/600,1ZSC8738682,BUF3,,23,2.4,"After 70,000 or every 7 year",370000,866,363,2022,2028,ABB Type: BZEDN 250/600m SN: 1ZSC  Motor:BUF3,
6310536,62BAT10,GSUT GT62,SITE2,GEN,YNd11,GSUT,ABB,2021,UZEDN 250/600,1ZSC8710412,BUF3,,23,2.4,"After 70,000 or every 7 year",370000,866,363,2022,2028,ABB Type: BZEDN 250/600m SN: 1ZSC 8738682 Motor:BUF3,
510049,31-90-CPPB-XF-KT2A,KT2A,SITE3,GSPP2&3,YNa0(d1),Distribution Transformer,ABB,2011,UCGRT 650/600,1ZSC8710413,BUE2,4837,21,5.1,"After 100,000 or every 7 year",500000,1660,591,2025,2031,"ABB.  Type: UCGRT 650/600/C SN:1ZSC8710413, Motor Type:BUE2",
PTE 1689/01,31-90-CPPB-XF-KT4A,KT4A,SITE3,GSPP2&3,YNa0(d1),Distribution Transformer,MR,1998,3XMI802,196368,MA7,24327,21,8.4,"7 (100,000)",,-,-,2021,2027,"MR. Type: 3XMI802 170/D 12233W, SN:196368, Motor Type:MA7",
PTE 1689/02,31-90-CPPB-XF-KT5A,KT4A,SITE3,GSPP2&3,YNa0(d1),Distribution Transformer,MR,1998,3XMI802,196369,MA7,25344,21,8.4,"7 (100,000)",,-,-,2020,2027,"MR. Type: 3XMI802 170/D 12233W, SN:196369, Motor Type:MA7",
PTE 1689/03,31-90-CPPB-XF-KT6A,KT4A,SITE3,GSPP2&3,YNa0(d1),Distribution Transformer,MR,1998,3XMI802,196370,MA7,23340,21,8.4,"7 (100,000)",,-,-,2020,2027,"MR. Type: 3XMI802 170/D 12233W, SN:196370, Motor Type:MA7",
PTE 1689/04,31-90-CPPB-XF-KT7A,KT4A,SITE3,GSPP2&3,YNa0(d1),Distribution Transformer,MR,1998,3XMI802,196371,MA7,23894,21,8.4,"7 (100,000)",,-,-,2025,2031,"MR. Type: 3XMI802 170/D 12233W, SN:196371, Motor Type:MA7",
