SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
6410130,12/9/2021,5000,94.414,-,-,,-,,-,40.204,-,-,-,-,92.945,-,-,-,-,0.44,-,-,-,-,0.51,-,-,-,-,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,,,,,1.03
6410131,12/13/2021,5000,94.293,-,-,,-,,-,40.947,-,-,-,-,93.073,-,-,-,-,0.31,-,-,-,-,2.37,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,,,,,2.37
6410137,12/14/2021,5000,93.815,,,,,,,44.555,,,,,92.379,,,,,0.01,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,Mr.Wongsakorn M.,Mr.Supaphit M.,TIRATHAI,GPSC,,,,,,,,,0.01
6512362,5/7/2023,200,4.4609,5.8212,7.0272,,,,,3.6011,4.4313,5.4892,,,4.503,5.54,6.475,,,0,0,0,,,0,0,0,,,0,0,0,,,-,-,-,-,-,-,-,-,,,,,,,,Mr. PANOM,,TIRATHAI,,FLUKE 8808A,329-018-BO,,33,36,36,69,SAT,0
6512363,10/10/2023,200,5.7718,4.4117,5.1583,,,,,6.7479,5.3742,6.3896,,,8.0179,6.7664,7.6183,,,0,0,0,,,0,0,0,,,0,0,0,,,-,-,-,-,-,-,-,-,,,,,,,,Mr. PANOM,,TIRATHAI,,,,,30.8,30,30,78.6,SAT,0
667001,5/8/2024,10,0.75,1.01,1.21,,,,,1.46,1.84,2.15,,,1.73,1.82,2.2,,,0,0,0,,,0,0,0,,,0,0,0,,,-,-,-,-,-,-,-,-,,,,,,,,Krittima,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,TESTRANO 600,DE280Y,,34.3,31,31,49,,0
76460027_1,10/23/2015,200,57.85,63.27,67.81,,-,,-,49.667,53.945,58.17,-,-,58.23,62.79,68.34,-,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-,-,200,3.026,2.478,2.969,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,,TIS,,Variac/Fulke 189,89550211,,-,-,-,-,,0
78140107_2,10/25/2015,200,29.244,32.036,35.205,,-,,-,22.862,24.842,27.492,-,-,27.125,29.236,32.272,-,-,0.67,0,0,-,-,0.79,0,0,-,-,0,0,0,-,-,50,3.028,2.423,2.984,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,-,TIS,-,Variac/Fulke 189,89550211,,-,-,-,-,,0.79
78140107_3,10/24/2015,200,27.467,29.925,32.747,,-,,-,23.353,25.473,27.764,-,-,29.045,31.677,34.756,-,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-,-,200,3.125,2.518,3.146,-,-,-,-,-,-,-,-,-,-,,Anusit S.,,TIS,,Variac/Fulke 189,89550211,,-,-,-,-,,0
9624007,12/15/2015,200,-,176.91,-,-,-,-,-,-,176.91,-,-,-,-,176.91,-,-,-,-,636.97,-,-,-,-,461.17,-,-,-,-,465.46,-,-,-,200,24.005,31.427,31.192,-,-,-,-,-,-,-,-,-,-,-,Anusit S.,,TIS,,Variac/Fulke 189,21070063,,-,-,-,-,,636.97
